head,source,in_channels,param_count,n_trials,best_val_acc,best_lr,best_wd,best_dropout,test_acc_mean,test_acc_std,test_auc_mean,test_auc_std,test_f1_mean,test_f1_std
linear,poly2_45,45,7292,30,0.8717948794364929,0.003919981605788785,1.3723386530700985e-07,0.21586263032499795,0.8012820512820513,0.01767185737447465,0.8227861319966584,0.00780082876721165,0.731426789071375,0.01846694681307149
mlp1,poly2_45,45,116738,30,0.8974359035491943,0.0004874489664774005,3.4343221774093596e-05,0.6197462116227119,0.8217948717948718,0.01427631887905135,0.8253759398496239,0.008217049544155431,0.7305476050246279,0.026845748875664814
mlp2,poly2_45,45,235490,30,0.9230769276618958,0.0021322537112138554,7.575246024975344e-08,0.35664729891150204,0.8096153846153846,0.009529531248281094,0.8050960735171261,0.007235448094293934,0.7107307725321045,0.028092352515204998
cnn_small,poly2_45,45,4258,30,0.9230769276618958,0.004267527086195605,1.9758008902258526e-07,0.23350961224114106,0.8403846153846155,0.02406195433220958,0.8575814536340852,0.013505199473478962,0.7851395544264074,0.026404903125142546
cnn_large,poly2_45,45,29314,30,0.9358974099159241,0.0002955448301280476,1.3130280280658579e-06,0.45212587914665925,0.8634615384615385,0.012179487179487206,0.8881578947368421,0.005507808272415154,0.8172790781345463,0.01341351485440498
linear,rff_45,45,7292,30,0.8717948794364929,0.0003028525153605888,3.7665768415992944e-05,0.4219343632501507,0.8198717948717948,0.005324758886485926,0.8192564745196323,0.0013765461197396843,0.7239953811011138,0.011059658950780552
mlp1,rff_45,45,116738,30,0.8846153616905212,0.004975662796284945,2.9496627394903343e-07,0.005320795240868016,0.8076923076923077,0.026892534568465427,0.8233500417710944,0.04177702547700214,0.7126042801122662,0.09862883617343
mlp2,rff_45,45,235490,30,0.8717948794364929,0.0008430875086334974,2.7754166346154866e-07,0.2515149089777875,0.8275641025641025,0.007280651725384978,0.8366750208855473,0.002863681955054761,0.74932905647372,0.010305091846184087
cnn_small,rff_45,45,4258,30,0.9230769276618958,0.0008518213474283769,1.1528157033487051e-06,0.3752518378922206,0.8493589743589745,0.01352245071136475,0.889327485380117,0.01274615702858309,0.7931632791806227,0.02636737203696304
cnn_large,rff_45,45,29314,30,0.9615384340286255,0.0009288738147888408,4.24074100880502e-07,0.6931069009691259,0.8634615384615385,0.015974276659457845,0.9032790309106099,0.007056379244536033,0.8189192981400563,0.018483205080865744
linear,rff_180,180,29162,30,0.8846153616905212,0.00022681676615383955,3.20395753233742e-07,0.32446948735618214,0.8134615384615385,0.0019230769230769162,0.8253132832080201,0.0012292346674654861,0.7129447028163776,0.003937685932878253
mlp1,rff_180,180,466658,30,0.8846153616905212,0.0004482324156188666,6.258694841027504e-07,0.4378776395127262,0.8057692307692308,0.015974276659457824,0.8294277360066834,0.003737345976558237,0.6927381094185429,0.034951165879393405
mlp2,rff_180,180,935330,30,0.8974359035491943,0.0005869645619534239,2.1072516231638267e-07,0.1643697281773543,0.8275641025641025,0.007280651725384993,0.8388888888888889,0.0029391538316211035,0.7454760975894816,0.01425260841264126
cnn_small,rff_180,180,12898,30,0.9358974099159241,0.0006039825352411981,4.255258962669816e-08,0.38696032366207017,0.8512820512820513,0.008974358974358977,0.8887218045112781,0.013703465745325336,0.7980932664252769,0.01615962306338145
cnn_large,rff_180,180,63874,30,0.9487179517745972,0.0008172774305294509,6.383804408523026e-08,0.6135975457244455,0.8698717948717949,0.013152746492745651,0.9062865497076021,0.00863210050428709,0.8274985855458802,0.020874984635271744
