head,source,in_channels,param_count,n_trials,best_val_acc,best_lr,best_wd,best_dropout,test_acc_mean,test_acc_std,test_auc_mean,test_auc_std,test_f1_mean,test_f1_std
linear,raw,1,1570,30,0.9599236845970154,0.003545137393575341,4.066695065393837e-06,0.2902633579933665,0.839423076923077,0.0045778387362454005,0.9203385930309007,0.0009804046392502977,0.8102854760974829,0.006373298263751105
mlp1,raw,1,25186,30,0.9637404680252075,0.004975662796284945,2.9496627394903343e-07,0.005320795240868016,0.8474358974358973,0.004041512888755912,0.9242510409818102,0.0037380852417724614,0.8223751927235805,0.005789757507929457
mlp2,raw,1,52386,30,0.9599236845970154,0.0002955448301280476,1.3130280280658579e-06,0.45212587914665925,0.8431089743589743,0.0036155494143200123,0.9257275914968222,0.0020067827189690574,0.8158158429740316,0.0050274245714192825
cnn_small,raw,1,5762,30,0.9809160232543945,0.0023140322559778393,4.7294905649695293e-07,0.6253275742068863,0.8556089743589744,0.005432195915602034,0.9540877712031559,0.004970233773864847,0.8310493692010233,0.0073178229237191176
cnn_large,raw,1,35330,30,0.9770992398262024,0.0003028525153605888,3.7665768415992944e-05,0.4219343632501507,0.8483974358974358,0.010683226482371121,0.9422024983563444,0.002667023488577524,0.8211819505778728,0.014401616781837353
linear,random_9,9,1460,30,0.9561068415641785,7.238226389042856e-05,0.0007610952267624742,0.6927735583265743,0.8205128205128205,0.003792358835320277,0.9084966031119878,0.00033642825881602856,0.78360427169224,0.005652894329870842
mlp1,random_9,9,23426,30,0.9541984796524048,0.0024737065020667363,0.0001957293038112045,0.6860760811681977,0.8549679487179487,0.005516639255787978,0.9226566951566951,0.0033246284325302205,0.8317079487777187,0.007595343284980895
mlp2,random_9,9,48866,30,0.9675572514533997,0.0005678011207082137,5.5113822294126813e-08,0.3768273478510627,0.8527243589743589,0.005384710774490847,0.9336396011396012,0.0022698062389245295,0.8278802277148849,0.007047735673333675
cnn_small,random_9,9,1954,30,0.9770992398262024,0.001824893151551826,4.214994479726216e-07,0.29346803479856753,0.8479166666666668,0.013067532135830897,0.9484703046241508,0.0062553677560424,0.8207376305458715,0.018727875866370473
cnn_large,random_9,9,20098,30,0.9866412281990051,0.0011030332700108284,0.000484021116190345,0.5569252155487758,0.8483974358974358,0.00977958096307201,0.9520973044049967,0.003646708830087612,0.820270316708888,0.013470335171977542
linear,random_45,45,7292,30,0.9637404680252075,0.003545137393575341,4.066695065393837e-06,0.2902633579933665,0.8538461538461538,0.00750985545760257,0.9219564979180364,0.002995091555809667,0.8301232616080492,0.010475828278977176
mlp1,random_45,45,116738,30,0.9637404680252075,0.00049117136406662,5.10797710569084e-05,0.20858966078865185,0.8583333333333332,0.0032211139811285246,0.9309253780407627,0.0026574432665730195,0.8363019658567513,0.0043748265953730305
mlp2,random_45,45,235490,30,0.9656488299369812,0.00033588668750123967,5.4442021849327515e-08,0.15108896383009812,0.8581730769230769,0.00954165105551552,0.9359966031119876,0.002579770627618882,0.8355275052077147,0.012534881808171153
cnn_small,random_45,45,4258,30,0.9790076613426208,0.003545137393575341,4.066695065393837e-06,0.2902633579933665,0.845673076923077,0.01210015492372606,0.9465587332895027,0.00284897908965294,0.8182367675352117,0.01641851199855698
cnn_large,random_45,45,29314,30,0.9847328066825867,0.002271529457417255,6.58266490795619e-08,0.5190137130292354,0.8483974358974358,0.007245291381703382,0.9581421214113522,0.003050767510163432,0.8208282721027069,0.010032764863710245
linear,random_180,180,29162,30,0.9637404680252075,0.002217151583433254,0.0008307990412557952,0.3025420102879975,0.8383012820512821,0.01912967552092381,0.9206108919570459,0.005760693182858495,0.8084337765183964,0.02719828088940535
mlp1,random_180,180,466658,30,0.9675572514533997,0.0009072050656524814,0.000977710355871267,0.040478459468218306,0.8491987179487179,0.006307265594280243,0.9284631821170283,0.002428968961111541,0.8239868690366172,0.008511042613107955
mlp2,random_180,180,935330,30,0.9637404680252075,0.0003412991695226882,0.0004246031301768212,0.04972524073852086,0.857852564102564,0.007950074842828522,0.9312020600482139,0.004303860976888172,0.8354585234141754,0.010140938571989671
cnn_small,random_180,180,12898,30,0.9809160232543945,0.003234897769976258,4.468886403374584e-08,0.48693360118920154,0.8445512820512822,0.0070585626748542185,0.9508136094674556,0.004670611759904607,0.8163667787967549,0.00945081297416686
cnn_large,random_180,180,63874,30,0.9809160232543945,0.0020086926860776178,0.00010142532653176892,0.3647135836116288,0.8477564102564102,0.010557480187179877,0.9537453429761122,0.003967814613823317,0.8197280000066073,0.0149494855683597
linear,digital_z_1k,9,1460,30,0.9618320465087891,0.0012595683215364752,0.00022390342721683693,0.6850328395629348,0.848397435897436,0.0059618830890186825,0.9267406311637082,0.0023775792769864753,0.8221833242521225,0.008480628327728319
mlp1,digital_z_1k,9,23426,30,0.9713740348815918,0.0006599482018222565,2.5446911651553114e-07,0.2050909625889674,0.8536858974358974,0.005269000712427434,0.9427383300460225,0.003665338802662187,0.8290953909862475,0.007072132089422811
mlp2,digital_z_1k,9,48866,30,0.9732824563980103,0.004443012808028918,8.446112927950727e-05,0.2260907820083392,0.8559294871794872,0.008906854635634781,0.938011724742494,0.004303640189479083,0.8333229053884089,0.012438191699318504
cnn_small,digital_z_1k,9,1954,30,0.9770992398262024,0.003919981605788785,1.3723386530700985e-07,0.21586263032499795,0.8503205128205129,0.008754166848556183,0.9497079772079772,0.004586902996256611,0.8240743032267577,0.012112628381773228
cnn_large,digital_z_1k,9,20098,30,0.9770992398262024,0.0018034203604999337,7.575246024975344e-08,0.5231164698225524,0.8516025641025641,0.01129097112423624,0.9531360946745563,0.002988260509110648,0.8248319894719043,0.01565961154288363
linear,digital_zz_1k,45,7292,30,0.9637404680252075,0.003545137393575341,4.066695065393837e-06,0.2902633579933665,0.8520833333333334,0.015751664439357674,0.9353539338154722,0.006444624290465985,0.8268994334923573,0.022410471821031466
mlp1,digital_zz_1k,45,116738,30,0.9694656729698181,0.0006148352091612545,8.119788657651584e-05,0.17081890819092804,0.8663461538461539,0.007954919003840303,0.9484396230550077,0.004224371406444327,0.8452376443671008,0.010291328452065302
mlp2,digital_zz_1k,45,235490,30,0.9637404680252075,0.00023936947820206268,7.982062105848523e-05,0.24381724312380787,0.8639423076923076,0.007532051282051303,0.9476221783914092,0.002360647645295428,0.842235098688576,0.010243872787799467
cnn_small,digital_zz_1k,45,4258,30,0.9770992398262024,0.003545137393575341,4.066695065393837e-06,0.2902633579933665,0.8522435897435896,0.008259037645336628,0.9485250931404778,0.005107314728397969,0.8262308539526586,0.011529114462181496
cnn_large,digital_zz_1k,45,29314,30,0.9770992398262024,0.0005988647761113147,4.599201751234188e-05,0.41250087623312215,0.8517628205128205,0.014848601775510882,0.9486527503835196,0.003549328852717154,0.8249050518031795,0.020451134206392017
linear,analog_z_1k,9,1460,30,0.9675572514533997,0.004814577203223904,7.814688372715666e-06,0.5494020251706675,0.8419871794871796,0.005467539137574333,0.9326139601139601,0.0014901853007095913,0.8152941349808552,0.0075334263156755996
mlp1,analog_z_1k,9,23426,30,0.9732824563980103,0.0014896713192705793,2.8173589244972024e-06,0.2650678651682074,0.8556089743589743,0.009106456823830367,0.9356311637080867,0.002816501935426039,0.8329437307011507,0.012546025922654394
mlp2,analog_z_1k,9,48866,30,0.9713740348815918,0.0006039825352411981,6.689758351786749e-08,0.28862702550805275,0.846474358974359,0.010935078275148726,0.9391436554898093,0.0024116660849552237,0.8207877337004037,0.014769238194119695
