head,source,seed,val_acc,val_loss,test_acc,test_auc,test_f1
linear,raw,0,0.8846153616905212,0.3992176949977875,0.7692307692307693,0.8279030910609858,0.7225296442687748
linear,raw,1,0.8589743375778198,0.40556958317756653,0.8076923076923077,0.8249791144527987,0.759209713932908
linear,raw,2,0.8717948794364929,0.40126273036003113,0.7884615384615384,0.8345864661654137,0.7406157101828992
linear,raw,3,0.8717948794364929,0.38586515188217163,0.8076923076923077,0.8364661654135337,0.7518557794273595
linear,raw,4,0.8717948794364929,0.39118126034736633,0.7884615384615384,0.8203842940685045,0.7370114942528736
linear,raw,5,0.8589743375778198,0.4013192057609558,0.7884615384615384,0.8241436925647453,0.7406157101828992
linear,raw,6,0.8717948794364929,0.4025275409221649,0.7435897435897436,0.8203842940685045,0.6876876876876876
linear,raw,7,0.8717948794364929,0.41153091192245483,0.782051282051282,0.8251879699248119,0.741167284794066
linear,raw,8,0.8589743375778198,0.40144285559654236,0.8012820512820513,0.8195488721804512,0.7415424082090749
linear,raw,9,0.8717948794364929,0.4037572145462036,0.7948717948717948,0.8297827903091062,0.7310344827586206
mlp1,raw,0,0.8461538553237915,0.38577842712402344,0.782051282051282,0.8220551378446115,0.6988416988416988
mlp1,raw,1,0.8589743375778198,0.36969831585884094,0.8141025641025641,0.8613199665831245,0.7356086727835895
mlp1,raw,2,0.8333333134651184,0.4082748293876648,0.8076923076923077,0.8441938178780284,0.7291666666666667
mlp1,raw,3,0.8589743375778198,0.36927756667137146,0.8205128205128205,0.8492063492063493,0.7472222222222222
mlp1,raw,4,0.8589743375778198,0.3810902237892151,0.8076923076923077,0.843358395989975,0.6980645161290322
mlp1,raw,5,0.8846153616905212,0.37186819314956665,0.8461538461538461,0.8698830409356726,0.7789846517119244
mlp1,raw,6,0.8333333134651184,0.375763475894928,0.8076923076923077,0.8529657477025898,0.7179363548698168
mlp1,raw,7,0.8846153616905212,0.3916059136390686,0.8012820512820513,0.8310359231411862,0.7173747881479751
mlp1,raw,8,0.8589743375778198,0.376874715089798,0.8076923076923077,0.8304093567251462,0.7179363548698168
mlp1,raw,9,0.8589743375778198,0.39776119589805603,0.8269230769230769,0.8414786967418546,0.753842557419204
mlp2,raw,0,0.8717948794364929,0.3819768726825714,0.8141025641025641,0.8552631578947367,0.7116083381143622
mlp2,raw,1,0.8589743375778198,0.3807160556316376,0.8076923076923077,0.8339598997493735,0.7117516629711751
mlp2,raw,2,0.8461538553237915,0.39097684621810913,0.8076923076923077,0.843358395989975,0.7117516629711751
mlp2,raw,3,0.8461538553237915,0.3896082043647766,0.8012820512820513,0.8381370091896407,0.6917192579843182
mlp2,raw,4,0.8333333134651184,0.38790005445480347,0.8141025641025641,0.8406432748538011,0.7182186234817813
mlp2,raw,5,0.8461538553237915,0.3949239253997803,0.8076923076923077,0.8523391812865497,0.7117516629711751
mlp2,raw,6,0.8333333134651184,0.3863869607448578,0.8269230769230769,0.8448203842940685,0.7376518218623482
mlp2,raw,7,0.8461538553237915,0.3812020421028137,0.8076923076923077,0.8458646616541353,0.6980645161290322
mlp2,raw,8,0.8461538553237915,0.3837547302246094,0.8141025641025641,0.8400167084377611,0.7182186234817813
mlp2,raw,9,0.8461538553237915,0.4032081365585327,0.8012820512820513,0.8383458646616542,0.7053914102954615
cnn_small,raw,0,0.8717948794364929,0.37046197056770325,0.8269230769230769,0.8677944862155389,0.7178267568834997
cnn_small,raw,1,0.8333333134651184,0.38161057233810425,0.8333333333333334,0.8634085213032582,0.7738626226583407
cnn_small,raw,2,0.8974359035491943,0.35497963428497314,0.8525641025641025,0.8755221386800335,0.7814194334450197
cnn_small,raw,3,0.8333333134651184,0.35367244482040405,0.8461538461538461,0.8728070175438596,0.7948717948717949
cnn_small,raw,4,0.8333333134651184,0.3608332872390747,0.8205128205128205,0.8713450292397661,0.7472222222222222
cnn_small,raw,5,0.8461538553237915,0.3479505181312561,0.8525641025641025,0.8790726817042607,0.790310326690433
cnn_small,raw,6,0.807692289352417,0.3743620812892914,0.8269230769230769,0.8638262322472849,0.753842557419204
cnn_small,raw,7,0.8461538553237915,0.3615117073059082,0.8653846153846154,0.8721804511278196,0.8122313291683384
cnn_small,raw,8,0.8333333134651184,0.389668732881546,0.8333333333333334,0.8634085213032582,0.7555448408871746
cnn_small,raw,9,0.8846153616905212,0.3618472218513489,0.8333333333333334,0.8625730994152047,0.7444556451612903
cnn_large,raw,0,0.8461538553237915,0.4096362590789795,0.8205128205128205,0.8373015873015873,0.751987281399046
cnn_large,raw,1,0.8717948794364929,0.37202557921409607,0.8461538461538461,0.8868003341687551,0.787417669770611
cnn_large,raw,2,0.8461538553237915,0.3720094859600067,0.8782051282051282,0.8830409356725146,0.8301140597237346
cnn_large,raw,3,0.8333333134651184,0.43506506085395813,0.8269230769230769,0.8586048454469507,0.7748917748917749
cnn_large,raw,4,0.8205128312110901,0.4106085002422333,0.8076923076923077,0.8270676691729324,0.755639097744361
cnn_large,raw,5,0.8461538553237915,0.41792234778404236,0.7948717948717948,0.8609022556390977,0.7353128313891835
cnn_large,raw,6,0.8461538553237915,0.34963029623031616,0.8333333333333334,0.8573517126148705,0.7882205513784462
cnn_large,raw,7,0.8717948794364929,0.38362330198287964,0.8076923076923077,0.8590225563909774,0.6980645161290322
cnn_large,raw,8,0.8333333134651184,0.421764075756073,0.8012820512820513,0.8423141186299081,0.6841486512964535
cnn_large,raw,9,0.8846153616905212,0.38759568333625793,0.8333333333333334,0.8778195488721805,0.7738626226583407
linear,random_9,0,0.8717948794364929,0.44435903429985046,0.8012820512820513,0.8381370091896408,0.7654135338345864
linear,random_9,1,0.8205128312110901,0.4587979316711426,0.782051282051282,0.8383458646616541,0.7470913599084493
linear,random_9,2,0.7948718070983887,0.46788230538368225,0.782051282051282,0.8379281537176274,0.7470913599084493
linear,random_9,3,0.807692289352417,0.4567084312438965,0.7692307692307693,0.822890559732665,0.7259418309584228
linear,random_9,4,0.807692289352417,0.468575656414032,0.7628205128205128,0.8285296574770258,0.7232318388875569
linear,random_9,5,0.8205128312110901,0.45334213972091675,0.75,0.831453634085213,0.7082713977463437
linear,random_9,6,0.8461538553237915,0.4441572427749634,0.8012820512820513,0.8329156223893066,0.7654135338345864
linear,random_9,7,0.8333333134651184,0.472138375043869,0.7948717948717948,0.8431495405179615,0.7619683387373641
linear,random_9,8,0.8205128312110901,0.4534297287464142,0.782051282051282,0.8352130325814536,0.744212962962963
linear,random_9,9,0.807692289352417,0.4754422605037689,0.7628205128205128,0.8383458646616541,0.7318716031030799
mlp1,random_9,0,0.8461538553237915,0.3907126486301422,0.8141025641025641,0.8680033416875521,0.740700406946753
mlp1,random_9,1,0.8333333134651184,0.38650014996528625,0.8076923076923077,0.8594402673350041,0.7342720872132638
mlp1,random_9,2,0.8589743375778198,0.3802190124988556,0.8397435897435898,0.8590225563909775,0.7674002504920379
mlp1,random_9,3,0.8589743375778198,0.38217735290527344,0.8012820512820513,0.8573517126148704,0.7228176763913567
mlp1,random_9,4,0.8717948794364929,0.3802870810031891,0.8397435897435898,0.862781954887218,0.7844708483006355
mlp1,random_9,5,0.8589743375778198,0.38763803243637085,0.8461538461538461,0.8782372598162071,0.7694013303769401
mlp1,random_9,6,0.8717948794364929,0.40089574456214905,0.8397435897435898,0.8554720133667503,0.7513864983744502
mlp1,random_9,7,0.8589743375778198,0.3978005051612854,0.8653846153846154,0.8631996658312447,0.8122313291683384
mlp1,random_9,8,0.8717948794364929,0.3739531934261322,0.8205128205128205,0.8659147869674184,0.7421487603305785
mlp1,random_9,9,0.8717948794364929,0.38142091035842896,0.8397435897435898,0.8703007518796992,0.7720764420548185
mlp2,random_9,0,0.8333333134651184,0.3895442485809326,0.8525641025641025,0.8744778613199666,0.790310326690433
mlp2,random_9,1,0.8589743375778198,0.40011680126190186,0.8333333333333334,0.8577694235588973,0.7383225806451613
mlp2,random_9,2,0.8717948794364929,0.4184258282184601,0.8012820512820513,0.8421052631578948,0.6987854251012147
mlp2,random_9,3,0.8589743375778198,0.3727090060710907,0.8397435897435898,0.8811612364243944,0.7720764420548185
mlp2,random_9,4,0.8846153616905212,0.391112357378006,0.8269230769230769,0.8734335839598998,0.748792270531401
mlp2,random_9,5,0.8717948794364929,0.38906529545783997,0.8397435897435898,0.8654970760233918,0.7513864983744502
mlp2,random_9,6,0.8333333134651184,0.42463022470474243,0.8269230769230769,0.8544277360066834,0.748792270531401
mlp2,random_9,7,0.8717948794364929,0.39945775270462036,0.8525641025641025,0.8677944862155388,0.7814194334450197
mlp2,random_9,8,0.8589743375778198,0.36443498730659485,0.8205128205128205,0.879281537176274,0.7247983870967742
mlp2,random_9,9,0.8717948794364929,0.38356050848960876,0.8397435897435898,0.8717627401837929,0.7764658680575457
cnn_small,random_9,0,0.8333333134651184,0.4279227554798126,0.8205128205128205,0.8187134502923976,0.7247983870967742
cnn_small,random_9,1,0.8589743375778198,0.3646869361400604,0.8525641025641025,0.8715538847117795,0.7814194334450197
cnn_small,random_9,2,0.8461538553237915,0.33543843030929565,0.8397435897435898,0.8824143692564745,0.7915664582331249
cnn_small,random_9,3,0.9102563858032227,0.34785276651382446,0.8782051282051282,0.8606934001670844,0.8301140597237346
cnn_small,random_9,4,0.9102563858032227,0.3582485318183899,0.8269230769230769,0.8439849624060151,0.7434054218702406
cnn_small,random_9,5,0.8974359035491943,0.3149242699146271,0.8525641025641025,0.8930659983291562,0.794348598612942
cnn_small,random_9,6,0.8461538553237915,0.3764464557170868,0.8012820512820513,0.8381370091896407,0.7372738632042157
cnn_small,random_9,7,0.9102563858032227,0.30243009328842163,0.8205128205128205,0.8830409356725146,0.7421487603305785
cnn_small,random_9,8,0.8846153616905212,0.28903231024742126,0.8397435897435898,0.8609022556390978,0.7948124375230179
cnn_small,random_9,9,0.8717948794364929,0.3880135416984558,0.8333333333333334,0.8467000835421887,0.7605667060212515
cnn_large,random_9,0,0.9102563858032227,0.29210135340690613,0.8782051282051282,0.8982873851294904,0.8332489451476793
cnn_large,random_9,1,0.8974359035491943,0.3256312608718872,0.8717948717948718,0.8955722639933166,0.829059829059829
cnn_large,random_9,2,0.9230769276618958,0.28094226121902466,0.8589743589743589,0.8675856307435256,0.811965811965812
cnn_large,random_9,3,0.9230769276618958,0.3182840645313263,0.8333333333333334,0.893483709273183,0.7697024755848285
cnn_large,random_9,4,0.9102563858032227,0.29031211137771606,0.8653846153846154,0.8907685881370092,0.8122313291683384
cnn_large,random_9,5,0.8974359035491943,0.2993142306804657,0.8589743589743589,0.8799081035923142,0.8086529884032114
cnn_large,random_9,6,0.8974359035491943,0.32017073035240173,0.8525641025641025,0.8784461152882206,0.790310326690433
cnn_large,random_9,7,0.9102563858032227,0.28634077310562134,0.8589743589743589,0.8776106934001671,0.8086529884032114
cnn_large,random_9,8,0.8974359035491943,0.3209657073020935,0.8589743589743589,0.9007936507936508,0.8051328639563934
cnn_large,random_9,9,0.9102563858032227,0.2943240702152252,0.8717948717948718,0.9026733500417711,0.829059829059829
linear,random_180,0,0.8717948794364929,0.455167293548584,0.7307692307692307,0.8176691729323309,0.7075
linear,random_180,1,0.7948718070983887,0.4606415331363678,0.6987179487179487,0.8132832080200502,0.6763628338115206
