head,source,in_channels,param_count,n_trials,best_val_acc,best_lr,best_wd,best_dropout,test_acc_mean,test_acc_std,test_auc_mean,test_auc_std,test_f1_mean,test_f1_std
cnn_large,analog_z_1k,9,20098,30,0.9770992398262024,0.0005661370916361357,1.2060488478986051e-08,0.20388881379873275,0.8666666666666668,0.008564352061466282,0.9438582073197459,0.003124825936850825,0.845473231049608,0.011622436754127947
cnn_large,analog_zz_1k,45,29314,30,0.9790076613426208,0.0012595683215364752,0.00022390342721683693,0.6850328395629348,0.8681089743589743,0.009235275342451226,0.9539672364672365,0.003465601639707697,0.8473712112058637,0.012232541207133033
cnn_large,analog_zz_4k,180,63874,30,0.9770992398262024,0.0003412991695226882,0.0004246031301768212,0.04972524073852086,0.8474358974358974,0.009421114395319901,0.9415285996055227,0.003365419836389387,0.8195689441549874,0.012466185966911163
cnn_large,digital_z_1k,9,20098,30,0.9732824563980103,0.0004482324156188666,6.258694841027504e-07,0.4378776395127262,0.8591346153846153,0.008732136362708528,0.9481881437650668,0.0037479038004046865,0.8356288512314837,0.01149250975806292
cnn_large,digital_zz_1k,45,29314,30,0.9732824563980103,0.0034571842959019044,3.6212898781445385e-05,0.3185596200123998,0.8556089743589743,0.01516012088625931,0.9498482358097743,0.003807514175020585,0.8309099679545326,0.020983416492185974
cnn_large,digital_zz_4k,180,63874,30,0.9770992398262024,0.00018160702787071607,0.00018537362147664078,0.14250768311467277,0.8504807692307692,0.011929149611504115,0.946553802323033,0.0059962745971523235,0.823443738668748,0.016100793193128033
cnn_large,poly2_45,45,29314,30,0.9809160232543945,0.0018561096828035109,3.3336811012569855e-08,0.39655454711650834,0.8491987179487179,0.008790761635834914,0.9466474906859522,0.004195777733583976,0.8217158938852729,0.012007524309926996
cnn_large,random_180,180,63874,30,0.9809160232543945,0.0007065086625197733,0.0008892867762536105,0.6073614105752201,0.8546474358974357,0.007380499320300954,0.9434100372561911,0.002712420916095416,0.8293484322262173,0.00993126641834804
cnn_large,random_45,45,29314,30,0.9866412281990051,0.004814577203223904,3.487018423419716e-06,0.5470675536892843,0.8581730769230769,0.008304004107712589,0.9547140039447731,0.003512203897335348,0.83468054377337,0.010549494677221884
cnn_large,random_9,9,20098,30,0.9809160232543945,0.003545137393575341,4.066695065393837e-06,0.2902633579933665,0.8538461538461538,0.01119044246801031,0.9484352399737016,0.0033259158431658458,0.8283844253389308,0.01537688697294323
cnn_large,raw,1,35330,30,0.982824444770813,0.0001980583428652863,1.6203290989298512e-06,0.09087134673313016,0.854647435897436,0.011535122380082133,0.9335470085470086,0.005201231153817337,0.8298523095459427,0.01590799006189611
cnn_large,rff_180,180,63874,30,0.9809160232543945,0.0009288738147888408,4.24074100880502e-07,0.6931069009691259,0.8559294871794872,0.007429055760576467,0.954719482796406,0.002748939430357345,0.831090586907484,0.009951567674244745
cnn_large,rff_45,45,29314,30,0.9790076613426208,0.001203119685408023,3.2122869277144907e-07,0.5469224964199725,0.8589743589743589,0.012780385921395439,0.9515395573087879,0.0030602905482324055,0.8348930373203898,0.017551786971989638
cnn_small,analog_z_1k,9,1954,30,0.9770992398262024,0.0027889037313439864,9.075554854993259e-06,0.34268155542166334,0.8645833333333334,0.009213001507567192,0.9464524435678282,0.004307815341776992,0.8436781700468552,0.012248411575555848
cnn_small,analog_zz_1k,45,4258,30,0.9732824563980103,0.0008369803545603571,2.1036850946602117e-08,0.5108302273469327,0.8594551282051281,0.010631415570911537,0.9490395573087882,0.004378344368052645,0.836017051805805,0.014284138511464073
cnn_small,analog_zz_4k,180,12898,30,0.9770992398262024,0.003918575097369902,1.895206077922458e-05,0.23799820991504153,0.8607371794871795,0.010297643478472663,0.9469871794871795,0.0047569890379458015,0.8382733938426427,0.013345281486550299
cnn_small,digital_z_1k,9,1954,30,0.9790076613426208,0.002079169257073759,9.510163214080064e-06,0.23038035519352068,0.8631410256410256,0.009647382655956684,0.94686828840675,0.004365997277602674,0.8416477630551901,0.012734647107691613
cnn_small,digital_zz_1k,45,4258,30,0.9732824563980103,0.0011066878810830198,2.8765213139707926e-05,0.19525450267464506,0.8549679487179487,0.008607723719228078,0.9430845934692087,0.004078087662081932,0.8307662614029214,0.011442753257941286
cnn_small,digital_zz_4k,180,12898,30,0.9713740348815918,0.0003308689091120168,3.038100678067906e-05,0.6483385146755813,0.8485576923076923,0.011085527952257212,0.9560097523559064,0.0026495745189072176,0.8217126562011872,0.014631091192942477
cnn_small,poly2_45,45,4258,30,0.982824444770813,0.004279586388871212,1.587451670136077e-07,0.23082985822575813,0.8533653846153845,0.012885452517772556,0.9466403681788298,0.0045385292345405375,0.8281786680850605,0.017578713710988594
cnn_small,random_180,180,12898,30,0.9790076613426208,0.0011282260071950366,1.939883117224878e-07,0.13165243770676802,0.8576923076923076,0.009742746252288898,0.9367000876616262,0.00543719052544274,0.8339005035352548,0.013490297142270624
cnn_small,random_45,45,4258,30,0.9770992398262024,0.00019173268568235214,9.719675281283674e-05,0.3206818465070025,0.8498397435897436,0.004863458623555597,0.9374172693403464,0.0035261143377032867,0.8231359138749321,0.0066144041461597405
cnn_small,random_9,9,1954,30,0.9770992398262024,0.0011893098823971635,1.1455174241892407e-05,0.5358956183373281,0.846474358974359,0.00784438349392334,0.9454224194608811,0.0027364659113452428,0.8185723544686307,0.010911501842177106
cnn_small,raw,1,5762,30,0.9809160232543945,0.00049117136406662,5.10797710569084e-05,0.20858966078865185,0.8535256410256411,0.006730769230769235,0.934790707867631,0.0038350803025615945,0.8278209958230509,0.009047818414675198
cnn_small,rff_180,180,12898,30,0.9790076613426208,0.003545137393575341,4.066695065393837e-06,0.2902633579933665,0.8541666666666667,0.007550781403454978,0.9460431733508656,0.004730354197769605,0.829813692210759,0.010148391623906447
cnn_small,rff_45,45,4258,30,0.9770992398262024,0.001682340391497398,5.734893352782487e-06,0.5964783566637677,0.8535256410256411,0.014011213457945117,0.9529837825991672,0.0036558330426198276,0.8275934395791593,0.018821208509782163
linear,analog_z_1k,9,1460,30,0.9656488299369812,0.0001517171784973547,0.0002876504143254697,0.6745639323507204,0.8645833333333333,0.0026087853519390462,0.925830593907517,0.0013309351967007062,0.8440267387694489,0.003275028438196718
linear,analog_zz_1k,45,7292,30,0.9503816962242126,0.00010836702671749564,9.091283280651455e-05,0.3702264438270331,0.866826923076923,0.003954795730529815,0.9210563225947842,0.0032845391557625695,0.8483469967858251,0.0048747405812689685
linear,analog_zz_4k,180,29162,30,0.9332060813903809,7.44125809754374e-05,9.65647927523816e-08,0.26077441646428745,0.8673076923076923,0.005256801111172027,0.8993688362919133,0.0057724104366205665,0.8527767969151723,0.006444024447420605
linear,digital_z_1k,9,1460,30,0.9618320465087891,0.0001517171784973547,0.0002876504143254697,0.6745639323507204,0.8528846153846155,0.004227854473805428,0.9299320622397547,0.0017486891190396027,0.828444154352362,0.005621229683690612
linear,digital_zz_1k,45,7292,30,0.9541984796524048,0.002389534082462206,1.4304764032760277e-05,0.6173002293536328,0.8442307692307691,0.022797002438568307,0.9010157790927021,0.02862653768709967,0.8188762497567236,0.03105713528030002
linear,digital_zz_4k,180,29162,30,0.9332060813903809,0.0008518213474283769,5.236664752942289e-06,0.6862589589275222,0.848397435897436,0.021395281113177757,0.8765603769449923,0.037300585392692175,0.8296814785156238,0.025143846245966293
linear,poly2_45,45,7292,30,0.9656488299369812,0.0003028525153605888,3.7665768415992944e-05,0.4219343632501507,0.8674679487179487,0.006950400141731236,0.933162393162393,0.002878033826732437,0.8466667538250352,0.009013208338836717
linear,random_180,180,29162,30,0.9503816962242126,0.0003028525153605888,3.7665768415992944e-05,0.4219343632501507,0.8551282051282051,0.01573779961178324,0.9055944554021478,0.010714542452439703,0.8342777295314562,0.02091538082321807
linear,random_45,45,7292,30,0.9599236845970154,0.00017627582971446336,9.119858741786151e-06,0.4744413538997015,0.8669871794871794,0.013841553129287934,0.9246794871794872,0.0037791721024267463,0.847270691313339,0.01808691033167195
linear,random_9,9,1460,30,0.9599236845970154,0.0006853007979273879,1.9516516631722642e-07,0.6285485363191888,0.8636217948717947,0.007463545527048096,0.9277991452991452,0.002141868666928865,0.8424028657019681,0.00984644134633973
linear,raw,1,1570,30,0.9580152630805969,0.001203119685408023,3.2122869277144907e-07,0.5469224964199725,0.8679487179487179,0.010165866363560077,0.9320162174008327,0.004512190214619498,0.8482084189099306,0.012970285611115392
linear,rff_180,180,29162,30,0.9465649127960205,0.0001517171784973547,0.0002876504143254697,0.6745639323507204,0.879647435897436,0.011296656120882756,0.9226473811089196,0.012740507779980694,0.8660757635685693,0.013850202444689623
linear,rff_45,45,7292,30,0.9561068415641785,7.44125809754374e-05,9.65647927523816e-08,0.26077441646428745,0.8727564102564103,0.0045440534867813385,0.9311056322594784,0.002866632560417609,0.8545129931457973,0.0057972930328314435
mlp1,analog_z_1k,9,23426,30,0.9770992398262024,0.004975662796284945,7.754008822131308e-06,0.48493639030530555,0.8652243589743589,0.007832916288365355,0.9409686609686609,0.004205610338133418,0.8449113914818792,0.00982152120430855
mlp1,analog_zz_1k,45,116738,30,0.9675572514533997,2.0855428995650543e-05,1.5834527427829724e-05,0.10034730118633248,0.8588141025641025,0.0053368031427393605,0.9440954415954416,0.0019365257442946037,0.8354841903098752,0.006602801414052395
mlp1,analog_zz_4k,180,466658,30,0.9732824563980103,0.004814577203223904,9.88200752896031e-06,0.3739650158781732,0.8649038461538462,0.007023912500259977,0.9179218715757178,0.008535898380499308,0.8460705838984408,0.009242017627508531
mlp1,digital_z_1k,9,23426,30,0.9770992398262024,0.0012595683215364752,0.00022390342721683693,0.6850328395629348,0.8474358974358974,0.006521471137620427,0.9394438965592812,0.0033892984378418303,0.8212730102442081,0.00829086801859679
mlp1,digital_zz_1k,45,116738,30,0.9770992398262024,0.0008793525952935675,0.0008726338609340114,0.061612447463734704,0.8557692307692306,0.009668655851922024,0.9481410256410256,0.0037388432219430607,0.8317127368344901,0.013480457128539992
mlp1,digital_zz_4k,180,466658,30,0.9713740348815918,0.00010836702671749564,9.091283280651455e-05,0.3702264438270331,0.8584935897435898,0.005019378129283941,0.9514677843523998,0.005140151295306367,0.8350357287353651,0.006654183757128979
mlp1,poly2_45,45,116738,30,0.9732824563980103,0.0006087361262490504,4.717398372880752e-06,0.35770477071057477,0.869551282051282,0.01449767035628032,0.9402744904667981,0.006741349437044536,0.8494798771698872,0.018567856991627253
mlp1,random_180,180,466658,30,0.9751908183097839,0.0014351754393372145,2.029536243043472e-06,0.5463704234005188,0.8591346153846153,0.010997140041216524,0.9367170721016874,0.004878519261500877,0.8364557604839338,0.014216704524051467
mlp1,random_45,45,116738,30,0.9675572514533997,0.0003028525153605888,3.7665768415992944e-05,0.4219343632501507,0.8658653846153846,0.008420708112448506,0.9402514792899408,0.003557304955377579,0.8445323918030934,0.011287750887634816
mlp1,random_9,9,23426,30,0.9675572514533997,7.238226389042856e-05,4.24074100880502e-07,0.42937053973241124,0.8692307692307691,0.005742459252297732,0.936990466798159,0.002410442242173082,0.8486461544981603,0.007127943551737123
mlp1,raw,1,25186,30,0.9751908183097839,0.0008220290688365611,1.4472947652246527e-06,0.5559446212869563,0.8644230769230768,0.008576338564269006,0.9406793776024547,0.001970437284008937,0.8425741686270325,0.011193085543739545
mlp1,rff_180,180,466658,30,0.9751908183097839,0.0017032987383138218,0.0002407771357862261,0.328644859047238,0.8560897435897434,0.013800673167699347,0.9413823142669295,0.004380714111206275,0.8320789386619758,0.018352547112409964
mlp1,rff_45,45,116738,30,0.9732824563980103,0.0001517171784973547,0.0002876504143254697,0.6745639323507204,0.871474358974359,0.008534312151086127,0.9449791803637957,0.0016750350367769448,0.8512080581399861,0.011072398262244288
mlp2,analog_z_1k,9,48866,30,0.9732824563980103,0.0001517171784973547,0.0002876504143254697,0.6745639323507204,0.8572115384615383,0.001956178784572721,0.9434604426912119,0.0034688800379223685,0.8342787547419661,0.002439110050320655
mlp2,analog_zz_1k,45,235490,30,0.9713740348815918,0.0006677355335593521,6.980455572370197e-06,0.34179156971396424,0.8567307692307692,0.01262267222276617,0.941305610344072,0.006146003965072921,0.8340412580719654,0.016355148281434667
mlp2,analog_zz_4k,180,935330,30,0.9751908183097839,0.0006148352091612545,0.0008284012811968885,0.25068606879545413,0.8580128205128206,0.011313693970976145,0.9419126671049749,0.007560275864760817,0.8346757789147468,0.01489499464733507
mlp2,digital_z_1k,9,48866,30,0.9790076613426208,0.0025386603581021416,2.4215160769390545e-06,0.4528994928644178,0.8524038461538461,0.012688624497959995,0.9397468770545695,0.004522397734035067,0.8272060580652335,0.016674392480382248
mlp2,digital_zz_1k,45,235490,30,0.9732824563980103,0.0006859586094378968,4.4871304899976473e-07,0.5020399446255647,0.8592948717948719,0.008413079966927382,0.9466107823800132,0.0036601215630046808,0.8354064343781695,0.011389371148875067
mlp2,digital_zz_4k,180,935330,30,0.9751908183097839,0.0022052778006378788,0.0008726338609340114,0.5471767295065539,0.8474358974358974,0.008165217437728838,0.9429070786763095,0.006275742800166122,0.8199654250473876,0.010896372822601617
mlp2,poly2_45,45,235490,30,0.9713740348815918,0.0003412991695226882,0.0004246031301768212,0.04972524073852086,0.8679487179487181,0.008425281684676223,0.9394866316020162,0.002755989209734175,0.8475423162330025,0.011342235290303405
mlp2,random_180,180,935330,30,0.9675572514533997,0.0014351754393372145,2.029536243043472e-06,0.5463704234005188,0.8591346153846153,0.007463545527048108,0.9340937979399518,0.0037214946359367175,0.8361602277849626,0.009797913973157414
mlp2,random_45,45,235490,30,0.9694656729698181,0.0023591828485859693,0.0009344089225485637,0.41117100656986066,0.8559294871794872,0.017444408980185646,0.9365422967346045,0.006660945750662512,0.8311111924374932,0.024104698475138426
mlp2,random_9,9,48866,30,0.9675572514533997,0.0003028525153605888,3.7665768415992944e-05,0.4219343632501507,0.8682692307692308,0.003023711901300183,0.9361297392066621,0.0018301647712405298,0.8481134321195348,0.0040955944247460995
mlp2,raw,1,52386,30,0.9713740348815918,0.0023804408486983245,4.773751325369976e-08,0.36654481900785496,0.8594551282051281,0.012078911657827745,0.9399654832347141,0.003921403805654851,0.8359984551311754,0.015816452846292784
mlp2,rff_180,180,935330,30,0.9770992398262024,0.0002955448301280476,1.3130280280658579e-06,0.45212587914665925,0.8599358974358975,0.01222998976175574,0.9427772298926145,0.005265296171332451,0.8364750122486442,0.015907420484953434
mlp2,rff_45,45,235490,30,0.9694656729698181,0.0006168467819788336,1.8352056478345885e-05,0.4791123680422606,0.8690705128205127,0.009880168360127147,0.9439431295200528,0.001987784833007432,0.8484298715232704,0.012984278961205964
