head,source,in_channels,param_count,n_trials,best_val_acc,best_lr,best_wd,best_dropout,test_acc_mean,test_acc_std,test_auc_mean,test_auc_std,test_f1_mean,test_f1_std
cnn_large,analog_z_1k,9,0,20,0.5768612623214722,0.0024030384760816603,5.600198829403065e-05,0.32204890770142525,0.5766159052453469,0.0013890062679262865,0.8718611473717663,0.0006926939176565863,0.4339285104993145,0.0019571637829467335
cnn_large,analog_zz_1k,45,0,20,0.5853214859962463,0.003545137393575341,4.066695065393837e-06,0.2902633579933665,0.5867597292724195,0.0008901359348603939,0.8791569134898225,0.00036973871579470404,0.45447302606697526,0.0015330542601498158
cnn_large,analog_zz_4k,180,67336,20,0.5956853032112122,0.003545137393575341,4.066695065393837e-06,0.2902633579933665,0.596089255499154,0.0012040410023805763,0.8855835012213902,0.0005103675929081671,0.47334156876648725,0.001978825680744995
cnn_large,digital_z_1k,9,0,20,0.5752115249633789,0.0024030384760816603,5.600198829403065e-05,0.32204890770142525,0.5772144670050763,0.001199372860636636,0.8734807896895374,0.00031653828141515246,0.4354049860900093,0.002041678689363599
cnn_large,digital_zz_1k,45,0,20,0.5925973057746887,0.0005971819330725691,0.0006542026317695005,0.13903184955009232,0.594077834179357,0.0008038894652479256,0.8834460365146682,0.00046776635083462214,0.46210707985358274,0.002084476336938164
cnn_large,digital_zz_4k,180,67336,20,0.5981810688972473,0.003545137393575341,4.066695065393837e-06,0.2902633579933665,0.5969691201353637,0.0010719845440921155,0.8861039732984184,0.0006957362578283823,0.4728018327822536,0.001981177681482396
cnn_large,poly2_45,45,0,20,0.6112943887710571,0.0015718000523345305,2.9734814454633804e-07,0.26162989778389417,0.6098604060913706,0.0013214229213650962,0.8923432144310223,0.00027418631295851484,0.4665231356513817,0.002777088635526
cnn_large,random_180,180,67336,20,0.6079103350639343,0.0010127950170949855,1.353084365335027e-07,0.2041135675759343,0.6030583756345177,0.0013962979593048939,0.8883881210405988,0.000565546448002519,0.4628128435221951,0.0026678907135480844
cnn_large,random_45,45,0,20,0.6069374084472656,0.004279586388871212,1.587451670136077e-07,0.23082985822575813,0.6049450084602369,0.001234180099351322,0.888813595622483,0.0004451333647253811,0.46242056113151253,0.0022173726864453285
cnn_large,random_9,9,0,20,0.6037648320198059,0.004279586388871212,1.587451670136077e-07,0.23082985822575813,0.6016095600676818,0.001557449245696257,0.8870796594955499,0.0006149540891387203,0.45770367233923237,0.0024711972366102614
cnn_large,raw,1,0,12,0.5994923710823059,0.0003028525153605888,3.7665768415992944e-05,0.4219343632501507,0.5997631133671742,0.0007395935989432887,0.8861690393121007,0.000244615114059429,0.45713950698534644,0.0016468035896027983
cnn_large,rff_180,180,67336,20,0.6203468441963196,0.004279586388871212,1.587451670136077e-07,0.23082985822575813,0.6168802876480541,0.0009930174889904884,0.8960160943914002,0.00046966051691362134,0.4802509553510793,0.0017668042278419155
