rank,trial,value,dataset.batch_size,model.activation,model.dropout,model.kernel_topology_names,optim.grad_clip,optim.lr,optim.patience,optim.use_scheduler,optim.weight_decay,duration_s
1,58,0.948718,64,gelu,0.5968,['kings'],0.0294966,0.00229221,81,True,3.57011e-06,131.2
2,172,0.948718,16,gelu,0.619634,['kings'],2.85051,0.0013518,86,True,8.20527e-07,32.9
3,4,0.935897,16,gelu,0.539677,['kings'],1.19594,0.00113815,71,True,2.29654e-06,45.8
4,25,0.935897,16,gelu,0.38166,['kings'],3.09902,0.00146894,86,True,3.83484e-06,67.6
5,41,0.935897,16,gelu,0.515254,['kings'],1.93981,0.000446992,71,True,1.34659e-06,67.7
6,53,0.935897,16,gelu,0.60129,['kings'],1.34651,0.000950929,76,True,6.68227e-07,70.8
7,63,0.935897,64,gelu,0.562012,['kings'],1.03345,0.00207963,76,True,1.17233e-06,128.8
8,76,0.935897,16,gelu,0.333504,['kings'],2.35914,0.00132245,86,True,1.09101e-06,32.9
9,84,0.935897,16,gelu,0.373193,['kings'],1.99517,0.00157622,86,True,1.98759e-06,29.3
10,91,0.935897,16,gelu,0.267812,['kings'],1.42563,0.00123095,96,True,7.79968e-07,31.2
11,103,0.935897,16,gelu,0.336309,['kings'],0.870567,0.0010185,66,True,1.29762e-06,25.5
12,116,0.935897,32,gelu,0.503398,['kings'],1.59475,0.00161353,76,True,2.2009e-06,25.3
13,123,0.935897,16,gelu,0.289926,['kings'],9.16952,0.00130509,81,True,6.632e-07,29.5
14,133,0.935897,16,gelu,0.305699,['kings'],1.2824,0.00126958,76,True,6.16909e-07,26.7
15,134,0.935897,16,gelu,0.319175,['kings'],1.90514,0.00132897,76,True,1.01764e-06,26.1
16,135,0.935897,16,gelu,0.317709,['kings'],1.76777,0.00133261,76,True,6.78699e-07,28.3
17,136,0.935897,16,gelu,0.597316,['kings'],2.79053,0.000477593,81,True,8.99975e-07,31.3
18,142,0.935897,16,gelu,0.330137,['kings'],1.56685,0.00103306,76,True,7.34483e-07,28.1
19,152,0.935897,16,gelu,0.596721,['kings'],2.90115,0.000936088,86,True,9.00698e-07,31.1
20,156,0.935897,16,gelu,0.61492,['kings'],2.80874,0.00120656,81,True,1.0487e-06,31.4
21,159,0.935897,16,gelu,0.576382,['kings'],2.24904,0.0016763,76,True,3.31147e-06,28.6
22,165,0.935897,16,gelu,0.366945,['kings'],2.55363,0.00110997,76,True,4.50824e-07,29.0
23,171,0.935897,16,gelu,0.597986,['kings'],2.60276,0.000966164,86,True,9.04209e-07,31.9
24,181,0.935897,16,gelu,0.601303,['kings'],2.90059,0.000948162,86,True,8.88956e-07,31.9
25,185,0.935897,16,gelu,0.581431,['kings'],2.74473,0.00061111,91,True,4.84122e-07,32.2
26,188,0.935897,16,gelu,0.251546,['kings'],2.38304,0.00113343,76,True,6.98615e-07,25.7
27,12,0.923077,16,gelu,0.289596,['kings'],1.36405,0.00300552,66,True,1.65359e-06,40.3
28,23,0.923077,16,gelu,0.290214,['kings'],0.183122,0.000918259,86,True,4.8416e-07,61.7
29,27,0.923077,16,gelu,0.508941,['kings'],2.34286,0.00037172,71,True,1.43545e-06,65.0
30,31,0.923077,16,gelu,0.279509,['kings'],0.0964963,0.000667527,86,True,8.18933e-07,64.7
31,32,0.923077,16,gelu,0.278998,['kings'],0.75879,0.00156346,81,True,3.33306e-07,58.0
32,43,0.923077,16,gelu,0.492076,['kings'],0.328102,0.000594731,71,True,8.72106e-06,71.0
33,52,0.923077,16,gelu,0.548937,['kings'],2.60047,0.000545719,76,True,2.43087e-06,63.3
34,60,0.923077,64,gelu,0.540759,['kings'],3.03007,0.00186606,66,True,7.83505e-06,114.7
35,61,0.923077,64,gelu,0.580604,['kings'],0.103556,0.00084989,86,True,3.3824e-06,137.8
36,66,0.923077,64,gelu,0.664329,['kings'],1.581,0.00190554,76,True,2.19401e-06,133.6
37,67,0.923077,64,gelu,0.517628,['kings'],3.72008,0.000586001,66,True,6.08302e-07,129.7
38,74,0.923077,16,gelu,0.444867,['kings'],0.680395,0.00338688,96,True,1.84759e-06,14161.5
39,81,0.923077,16,gelu,0.333788,['kings'],0.313533,0.00101779,86,True,6.36516e-07,30.5
40,82,0.923077,16,gelu,0.293685,['kings'],1.38088,0.000486392,81,True,4.34025e-07,28.4
41,85,0.923077,16,gelu,0.402597,['kings'],1.99286,0.00368849,86,True,1.9262e-06,31.1
42,93,0.923077,16,gelu,0.271508,['kings'],2.12434,0.000703166,96,True,1.59502e-06,32.4
43,101,0.923077,16,gelu,0.287499,['kings'],0.321017,0.000500741,81,True,5.18086e-07,28.3
44,104,0.923077,16,gelu,0.332712,['kings'],0.82602,0.00112904,66,True,2.56782e-06,24.7
45,111,0.923077,16,gelu,0.304553,['kings'],0.514472,0.000635426,71,True,3.8839e-07,26.8
46,112,0.923077,16,gelu,0.218159,['kings'],0.130605,0.001196,76,True,8.86879e-07,25.7
47,117,0.923077,32,gelu,0.502115,['kings'],2.26269,0.00145231,76,True,2.26753e-06,26.3
48,118,0.923077,32,gelu,0.514767,['cross'],1.82194,0.000912163,71,True,1.58342e-06,25.3
49,122,0.923077,64,gelu,0.487282,['kings'],0.0265704,0.000819095,76,True,2.91431e-06,23.3
50,124,0.923077,16,gelu,0.453243,['kings'],7.37269,0.00116521,81,True,1.78371e-06,31.7
51,125,0.923077,16,gelu,0.333157,['kings'],8.10107,0.00235436,76,True,6.90575e-07,28.4
52,127,0.923077,64,gelu,0.23428,['kings'],1.38547,0.00345346,71,True,1.32666e-06,19.0
53,131,0.923077,16,gelu,0.250439,['kings'],6.40336,0.00099176,86,True,2.74052e-07,31.8
54,138,0.923077,64,gelu,0.34181,['kings'],2.2046,0.00112039,76,True,5.63383e-06,21.1
55,139,0.923077,16,gelu,0.30957,['kings'],1.92821,0.000701893,81,True,3.96585e-07,30.3
56,145,0.923077,16,gelu,0.376716,['kings'],3.06263,0.000830172,81,True,8.64985e-07,31.7
57,146,0.923077,16,gelu,0.565006,['kings'],1.50893,0.00129997,71,True,1.19411e-06,27.3
