rank,trial,value,dataset.batch_size,model.activation,model.dropout,optim.grad_clip,optim.lr,optim.patience,optim.use_scheduler,optim.weight_decay,duration_s
1,11,0.935897,64,gelu,0.647479,4.21263,0.00329748,95,False,1.04982e-05,45.2
2,71,0.935897,32,relu,0.621407,5.86242,0.000517331,100,True,0.000198339,32.8
3,72,0.935897,32,relu,0.532864,5.94734,0.000449596,100,True,0.000222068,32.6
4,81,0.935897,64,gelu,0.459228,3.492,0.00194351,95,True,2.20127e-06,30.7
5,144,0.935897,32,relu,0.611848,6.84039,0.00057533,90,True,0.000217902,34.1
6,145,0.935897,32,relu,0.615092,6.22314,0.000668764,90,True,0.00028077,34.1
7,170,0.935897,32,relu,0.636827,6.61865,0.00131533,100,True,0.000121604,34.2
8,185,0.935897,32,relu,0.601179,6.24767,0.000559603,95,True,0.000116581,37.1
9,1,0.923077,64,gelu,0.302362,1.81825,0.00055471,25,False,1.15264e-07,16.0
10,15,0.923077,64,gelu,0.537996,3.7125,0.000333152,85,False,2.01757e-06,30.0
11,61,0.923077,32,relu,0.617918,6.05279,0.000533515,95,True,0.00016636,35.6
12,84,0.923077,64,relu,0.464833,4.91088,0.00168354,90,True,0.000149293,29.0
13,87,0.923077,64,gelu,0.502696,4.88387,0.00166621,95,True,0.000178719,34.1
14,107,0.923077,32,gelu,0.639101,3.85562,0.000298223,25,True,0.000197494,34.2
15,115,0.923077,32,gelu,0.512656,5.56166,0.000801232,50,False,0.000141653,33.2
16,141,0.923077,32,relu,0.625033,5.88351,0.000390935,95,True,0.000179559,33.9
17,143,0.923077,32,relu,0.61616,6.13634,0.000674097,90,True,0.000263807,32.6
18,147,0.923077,32,relu,0.605495,6.29691,0.00049063,90,True,0.000139235,34.2
19,150,0.923077,32,relu,0.620769,6.03565,0.000333219,90,True,0.000395132,34.6
20,153,0.923077,32,relu,0.604159,6.33509,0.000475704,90,True,0.000132126,33.7
21,156,0.923077,32,relu,0.647321,6.95192,0.00030447,90,True,0.000158784,33.6
22,158,0.923077,32,relu,0.596149,6.6019,0.000923607,100,True,8.46213e-05,33.7
23,161,0.923077,32,relu,0.615365,6.07772,0.000339673,85,True,0.000373392,33.1
24,163,0.923077,32,relu,0.59049,6.45002,0.000474108,90,True,0.000420486,33.2
25,164,0.923077,32,relu,0.639982,5.51234,0.000194824,95,True,0.000303489,33.7
26,169,0.923077,32,relu,0.231846,6.81718,0.000569051,25,True,6.636e-08,15.4
27,174,0.923077,32,relu,0.644195,6.7502,0.00106212,95,True,0.000147987,42.5
28,176,0.923077,32,relu,0.595003,5.5586,0.000423076,90,True,0.000205806,37.9
29,182,0.923077,32,relu,0.650517,6.39731,0.000486821,90,True,0.000156526,32.8
30,183,0.923077,32,relu,0.583611,5.95765,0.000394375,85,True,0.000267362,33.7
31,189,0.923077,32,gelu,0.589178,5.84664,0.000247819,100,True,7.26483e-05,34.2
32,194,0.923077,32,relu,0.613295,3.58624,0.000879757,90,True,0.000226418,34.6
33,21,0.910256,64,gelu,0.575986,3.5853,0.000339215,90,False,2.58944e-06,28.7
34,29,0.910256,32,relu,0.476876,4.61695,0.00221769,65,True,0.000740659,35.9
35,39,0.910256,16,gelu,0.486951,8.88619,0.00404836,75,True,8.73051e-07,58.3
36,46,0.910256,32,relu,0.627821,5.86217,0.000452928,95,True,0.000166081,35.1
37,53,0.910256,16,gelu,0.411109,9.85774,0.00299242,65,True,1.72677e-06,38.7
38,59,0.910256,64,gelu,0.450698,9.38006,0.00472567,50,True,2.45163e-06,26.6
39,62,0.910256,32,relu,0.67236,8.08679,0.000775133,85,True,0.000337214,34.9
40,76,0.910256,32,relu,0.641326,6.71967,0.000620746,95,True,0.000557587,34.0
41,79,0.910256,32,relu,0.599364,6.42703,0.00111958,95,True,5.81641e-05,33.1
