rank,trial,value,dataset.batch_size,model.activation,model.dropout,model.kernel_topology_names,optim.grad_clip,optim.lr,optim.patience,optim.use_scheduler,optim.weight_decay,duration_s
1,112,0.948718,16,gelu,0.500905,"['grid', 'chain', 'horizontal', 'kings']",6.82958,5.87569e-05,76,False,8.61871e-08,42.5
2,122,0.948718,16,relu,0.415259,"['grid', 'chain', 'horizontal', 'kings']",7.56406,4.80177e-05,91,False,8.59006e-08,41.5
3,125,0.948718,16,relu,0.413296,"['grid', 'chain', 'horizontal', 'kings']",8.48935,5.87562e-05,91,False,7.70932e-08,42.6
4,144,0.948718,16,relu,0.419937,"['grid', 'chain', 'horizontal', 'kings']",7.55026,5.94313e-05,81,False,5.29212e-08,42.6
5,150,0.948718,16,relu,0.419999,"['grid', 'chain', 'horizontal', 'kings']",7.5532,6.25052e-05,96,False,1.61359e-07,41.5
6,162,0.948718,16,relu,0.425181,"['grid', 'chain', 'horizontal', 'kings']",8.59576,4.91022e-05,86,False,2.56099e-08,43.4
7,190,0.948718,16,relu,0.446084,"['grid', 'chain', 'horizontal', 'kings']",7.01666,6.85405e-05,81,False,3.73182e-08,45.2
8,109,0.935897,16,gelu,0.532292,"['grid', 'chain', 'horizontal', 'kings']",6.17384,5.41773e-05,66,False,1.93402e-07,41.3
9,111,0.935897,16,gelu,0.538769,"['grid', 'chain', 'horizontal', 'kings']",6.17385,5.32008e-05,76,False,1.73147e-07,41.5
10,113,0.935897,16,gelu,0.531451,"['grid', 'chain', 'horizontal', 'kings']",6.81604,5.66598e-05,76,False,2.82582e-08,42.0
11,114,0.935897,16,gelu,0.480368,"['grid', 'chain', 'horizontal', 'kings']",7.3323,3.68356e-05,76,False,3.3303e-08,42.2
12,117,0.935897,16,relu,0.428344,"['grid', 'chain', 'horizontal', 'kings']",7.44041,5.73557e-05,76,False,3.88566e-08,42.0
13,118,0.935897,16,relu,0.427493,"['grid', 'chain', 'horizontal', 'kings']",6.89561,3.68301e-05,91,False,2.72516e-08,41.4
14,119,0.935897,16,relu,0.42234,"['grid', 'chain', 'horizontal', 'kings']",6.87327,3.62157e-05,91,False,1.00203e-08,40.4
15,124,0.935897,16,relu,0.448086,"['grid', 'chain', 'horizontal', 'kings']",8.17911,5.45581e-05,86,False,8.39723e-08,41.5
16,126,0.935897,16,relu,0.413039,"['grid', 'chain', 'horizontal', 'kings']",8.64501,5.76896e-05,91,False,8.38436e-08,41.5
17,129,0.935897,16,relu,0.38439,"['grid', 'chain', 'horizontal', 'kings']",8.35856,3.87244e-05,86,False,2.53818e-08,40.9
18,131,0.935897,16,relu,0.435527,"['grid', 'chain', 'horizontal', 'kings']",8.41216,4.94459e-05,91,False,3.96121e-08,41.1
19,132,0.935897,16,relu,0.424084,"['grid', 'chain', 'horizontal', 'kings']",8.48143,4.59135e-05,86,False,4.45536e-08,40.9
20,133,0.935897,16,relu,0.44715,"['grid', 'chain', 'horizontal', 'kings']",7.85646,5.7571e-05,91,False,6.88791e-08,42.7
21,138,0.935897,16,relu,0.422575,"['grid', 'chain', 'horizontal', 'kings']",8.1174,4.58184e-05,86,False,2.52344e-08,41.3
22,141,0.935897,16,relu,0.428083,"['grid', 'chain', 'horizontal', 'kings']",8.55834,5.05449e-05,86,False,4.33991e-08,41.3
23,142,0.935897,16,relu,0.467778,"['grid', 'chain', 'horizontal', 'kings']",8.2821,7.98341e-05,96,False,1.02158e-08,41.4
24,146,0.935897,16,relu,0.480415,"['grid', 'chain', 'horizontal', 'kings']",7.64577,6.12348e-05,81,False,2.73904e-08,41.6
25,151,0.935897,16,relu,0.421121,"['grid', 'chain', 'horizontal', 'kings']",8.04323,7.04828e-05,96,False,1.58322e-07,41.5
26,152,0.935897,16,relu,0.452964,"['grid', 'chain', 'horizontal', 'kings']",7.54749,5.94245e-05,91,False,5.18167e-08,41.1
27,154,0.935897,16,relu,0.406923,"['grid', 'chain', 'horizontal', 'kings']",6.76483,3.83803e-05,91,False,1.28308e-08,41.9
28,161,0.935897,16,relu,0.419162,"['grid', 'chain', 'horizontal', 'kings']",8.48647,4.61016e-05,86,False,4.03559e-08,45.4
29,166,0.935897,16,relu,0.516842,"['grid', 'chain', 'horizontal', 'kings']",8.63873,5.57375e-05,81,False,1.3759e-08,40.9
30,167,0.935897,16,relu,0.387137,"['grid', 'chain', 'horizontal', 'kings']",8.11288,4.17977e-05,86,False,7.10454e-08,41.1
31,171,0.935897,16,relu,0.423372,"['grid', 'chain', 'horizontal', 'kings']",8.46762,4.63735e-05,86,False,4.3585e-08,44.1
32,172,0.935897,16,relu,0.439663,"['grid', 'chain', 'horizontal', 'kings']",8.67803,7.04834e-05,76,False,5.89926e-08,42.8
33,174,0.935897,16,relu,0.500068,"['grid', 'chain', 'horizontal', 'kings']",8.06994,9.34018e-05,86,False,8.19434e-08,42.0
34,181,0.935897,16,relu,0.447793,"['grid', 'chain', 'horizontal', 'kings']",7.79566,6.06562e-05,91,False,6.52139e-08,42.7
35,183,0.935897,16,relu,0.453311,"['grid', 'chain', 'horizontal', 'kings']",8.18366,0.000123129,96,False,5.51017e-08,42.3
36,184,0.935897,16,relu,0.491019,"['grid', 'chain', 'horizontal', 'kings']",7.24816,8.44586e-05,86,False,3.7269e-08,41.9
37,185,0.935897,16,relu,0.473437,"['grid', 'chain', 'horizontal', 'kings']",8.61855,4.49418e-05,91,False,2.52516e-08,41.9
38,186,0.935897,16,relu,0.398452,"['grid', 'chain', 'horizontal', 'kings']",7.57639,6.26245e-05,71,False,9.37613e-08,41.5
39,189,0.935897,16,relu,0.522987,"['grid', 'chain', 'horizontal', 'kings']",7.32597,4.97782e-05,91,False,4.9786e-08,41.1
40,193,0.935897,16,relu,0.407917,"['grid', 'chain', 'horizontal', 'kings']",7.52035,3.76383e-05,76,False,2.76673e-08,41.7
41,194,0.935897,16,relu,0.508424,"['grid', 'chain', 'horizontal', 'kings']",7.17718,5.73734e-05,86,False,1.84269e-08,42.3
42,196,0.935897,16,relu,0.421033,"['grid', 'chain', 'horizontal', 'kings']",8.50193,2.9826e-05,81,False,1.79403e-07,41.7
43,197,0.935897,16,relu,0.48225,"['grid', 'chain', 'horizontal', 'kings']",6.82805,4.25117e-05,96,False,1.08985e-07,41.2
44,16,0.923077,16,gelu,0.689503,"['grid', 'chain', 'horizontal', 'cross']",1.63454,0.00010545,41,False,3.53533e-07,43.9
45,56,0.923077,32,gelu,0.694339,"['grid', 'chain', 'horizontal', 'star']",4.58026,9.66503e-05,51,False,3.47379e-06,32.0
46,64,0.923077,32,gelu,0.664917,"['grid', 'chain', 'horizontal', 'kings']",5.82549,0.000773136,41,False,1.08042e-05,28.2
47,66,0.923077,16,gelu,0.641325,"['grid', 'chain', 'horizontal', 'kings']",6.04526,0.000204304,51,False,8.10814e-05,41.5
48,71,0.923077,16,gelu,0.619137,"['grid', 'chain', 'horizontal', 'kings']",6.12204,0.000595818,61,False,0.000372575,74.2
49,82,0.923077,16,gelu,0.528704,"['grid', 'chain', 'horizontal', 'ring']",4.32433,0.000140303,51,False,4.34025e-07,38.4
50,86,0.923077,16,gelu,0.504769,"['grid', 'chain', 'horizontal', 'ring']",5.61174,0.000160206,76,False,5.33069e-07,57.0
51,88,0.923077,16,gelu,0.49584,"['grid', 'chain', 'horizontal', 'ring']",2.75011,0.000215414,51,False,2.21608e-05,52.2
52,116,0.923077,16,gelu,0.476354,"['grid', 'chain', 'horizontal', 'kings']",7.92172,2.45102e-05,86,False,3.06194e-08,42.2
53,121,0.923077,16,relu,0.392784,"['grid', 'chain', 'horizontal', 'kings']",6.89029,3.96454e-05,91,False,2.21363e-08,41.3
54,123,0.923077,16,relu,0.367421,"['grid', 'chain', 'horizontal', 'kings']",7.49517,3.08768e-05,91,False,1.08303e-08,41.7
55,127,0.923077,16,relu,0.411701,"['grid', 'chain', 'horizontal', 'kings']",8.86321,5.41769e-05,91,False,8.28174e-08,41.9
56,130,0.923077,16,relu,0.38527,"['grid', 'chain', 'horizontal', 'kings']",8.27231,3.62813e-05,86,False,2.27418e-08,40.9
57,134,0.923077,16,relu,0.409437,"['grid', 'chain', 'horizontal', 'kings']",7.9807,3.24195e-05,86,False,3.17713e-08,43.2
58,137,0.923077,16,relu,0.402143,"['grid', 'chain', 'horizontal', 'kings']",8.47212,6.98844e-05,91,False,4.20914e-08,41.5
59,140,0.923077,16,relu,0.346195,"['grid', 'chain', 'horizontal', 'kings']",6.76751,3.71149e-05,91,False,1.55353e-08,41.5
60,143,0.923077,16,relu,0.390284,"['grid', 'chain', 'horizontal', 'kings']",7.14199,4.43379e-05,91,False,1.24494e-07,42.5
61,149,0.923077,16,relu,0.44347,"['grid', 'chain', 'horizontal', 'kings']",7.78216,3.19135e-05,86,False,3.64353e-08,41.1
62,155,0.923077,16,relu,0.437343,"['grid', 'chain', 'horizontal', 'kings']",8.302,0.000107218,76,False,6.33966e-08,41.9
63,158,0.923077,16,relu,0.461039,"['grid', 'chain', 'horizontal', 'kings']",7.62144,2.65667e-05,86,False,1.25544e-07,41.4
64,159,0.923077,16,relu,0.484429,"['grid', 'chain', 'horizontal', 'kings']",7.35577,3.61141e-05,96,False,4.82e-08,41.0
65,160,0.923077,16,relu,0.434903,"['grid', 'chain', 'horizontal', 'kings']",7.10157,6.01174e-05,81,False,1.66712e-07,41.3
66,165,0.923077,16,relu,0.448827,"['grid', 'chain', 'horizontal', 'kings']",9.55527,3.24452e-05,91,False,1.78895e-08,41.8
67,176,0.923077,16,relu,0.42036,"['grid', 'chain', 'horizontal', 'kings']",7.47024,3.55985e-05,76,False,2.02563e-08,40.7
68,178,0.923077,16,relu,0.42994,"['grid', 'chain', 'horizontal', 'kings']",7.7358,7.66934e-05,86,False,3.10955e-08,40.9
69,180,0.923077,16,relu,0.410489,"['grid', 'chain', 'horizontal', 'kings']",8.93397,4.72731e-05,81,False,4.41129e-08,42.2
70,182,0.923077,16,relu,0.438584,"['grid', 'chain', 'horizontal', 'kings']",7.94345,5.76006e-05,91,False,7.03276e-08,43.0
71,191,0.923077,16,relu,0.44601,"['grid', 'chain', 'horizontal', 'kings']",6.68824,7.34448e-05,81,False,3.36857e-08,43.5
72,195,0.923077,16,relu,0.436407,"['grid', 'chain', 'horizontal', 'kings']",8.77323,8.50049e-05,91,False,5.93343e-08,41.8
73,31,0.910256,64,gelu,0.546455,"['grid', 'chain', 'horizontal', 'ring']",5.46026,5.60169e-05,61,False,5.4343e-07,26.8
74,32,0.910256,64,gelu,0.560899,"['grid', 'chain', 'horizontal', 'ring']",5.19168,8.64325e-05,71,False,5.25967e-07,27.0
75,41,0.910256,64,gelu,0.550292,"['grid', 'chain', 'horizontal', 'ring']",5.43783,6.48264e-05,71,False,1.18581e-06,26.9
