rank,trial,value,dataset.batch_size,model.activation,model.dropout,optim.grad_clip,optim.lr,optim.patience,optim.use_scheduler,optim.weight_decay,duration_s
1,155,0.935897,16,gelu,0.573291,8.89138,0.00227676,75,False,5.61826e-05,56.4
2,81,0.923077,16,gelu,0.4812,9.03954,0.00161266,70,False,3.58381e-06,56.6
3,57,0.910256,64,gelu,0.506428,5.27578,0.00115075,95,False,1.44988e-05,49.9
4,86,0.910256,16,gelu,0.257396,8.44509,0.00124323,70,False,6.08262e-05,49.5
5,120,0.910256,16,gelu,0.0983152,8.19215,0.000793526,90,False,2.2129e-05,50.1
6,176,0.910256,16,gelu,0.487513,9.42434,0.00107406,100,False,2.30207e-05,58.7
7,183,0.910256,16,gelu,0.516753,3.73719,0.00180715,95,False,8.14191e-05,58.3
8,23,0.897436,64,gelu,0.589878,6.11323,0.000931481,85,False,3.33865e-06,44.3
9,55,0.897436,16,relu,0.521374,9.73836,0.00119202,95,False,1.50823e-07,54.5
10,79,0.897436,16,gelu,0.526224,9.29466,0.00146752,75,False,3.45196e-06,47.6
11,83,0.897436,16,gelu,0.492566,9.66252,0.00292682,70,False,1.61581e-05,66.0
12,87,0.897436,16,gelu,0.189225,6.37327,0.00142247,65,False,5.97844e-05,43.9
13,101,0.897436,32,gelu,0.432493,9.0172,0.00062201,80,False,0.000125055,49.4
14,104,0.897436,32,gelu,0.457355,9.31212,0.000881632,65,False,4.14729e-05,44.8
15,111,0.897436,16,gelu,0.554214,9.39997,0.00114508,90,False,6.51295e-05,68.8
16,112,0.897436,16,gelu,0.554276,9.16179,0.00118515,95,False,6.53565e-05,66.3
17,114,0.897436,16,gelu,0.537469,9.0723,0.00113877,95,False,5.45679e-05,69.0
18,118,0.897436,16,gelu,0.550746,8.94371,0.00124691,70,True,2.90764e-05,52.8
19,122,0.897436,16,gelu,0.52986,9.31823,0.00168453,95,False,2.08436e-05,59.3
20,131,0.897436,16,gelu,0.544526,3.93293,0.00112472,95,False,5.86657e-05,62.8
21,133,0.897436,16,gelu,0.51441,9.08772,0.00134054,95,False,5.07295e-05,63.7
22,136,0.897436,32,gelu,0.447745,9.19916,0.0018852,70,False,0.000177659,47.6
23,137,0.897436,16,gelu,0.520668,8.3643,0.00291664,65,False,8.27375e-06,49.3
24,138,0.897436,16,gelu,0.572232,9.79362,0.00102559,95,True,0.000108276,60.8
25,139,0.897436,16,gelu,0.0728643,8.835,0.00124444,85,False,1.84447e-08,49.1
26,141,0.897436,16,gelu,0.557283,8.99074,0.00128647,70,True,3.30926e-05,44.8
27,142,0.897436,16,gelu,0.545687,7.9177,0.00080179,70,True,6.34741e-05,48.8
28,143,0.897436,16,gelu,0.591056,8.51848,0.0016208,75,True,2.82689e-05,51.1
29,158,0.897436,16,gelu,0.603339,9.04861,0.000509391,75,False,2.07508e-06,57.0
30,163,0.897436,16,gelu,0.49916,9.81475,0.00208539,75,False,3.61709e-05,53.9
31,165,0.897436,16,gelu,0.566064,9.57237,0.000995884,60,False,4.4474e-05,43.1
32,179,0.897436,32,relu,0.440345,9.13345,0.00142013,75,False,1.11415e-05,45.3
33,197,0.897436,64,gelu,0.532283,9.08436,0.00294587,100,False,3.3749e-07,52.9
34,199,0.897436,16,gelu,0.590515,4.12414,0.00086568,70,False,3.78975e-08,49.3
35,22,0.884615,64,gelu,0.625221,5.93457,0.00176535,90,False,4.70609e-06,47.1
36,32,0.884615,64,gelu,0.586891,9.40328,0.000635034,85,False,3.28473e-06,50.2
37,33,0.884615,64,gelu,0.507124,9.30674,0.000517029,85,False,2.61759e-06,50.3
38,35,0.884615,64,relu,0.56823,9.15768,0.000443839,85,False,2.30773e-06,49.7
39,37,0.884615,16,relu,0.526898,8.94508,0.000114023,75,False,7.3029e-07,60.9
40,38,0.884615,32,gelu,0.39786,7.65637,0.000689896,85,True,3.53013e-05,45.9
41,43,0.884615,64,relu,0.454344,9.87115,0.0014141,95,False,1.56056e-06,52.1
42,52,0.884615,16,relu,0.468422,9.21625,0.000699202,75,False,6.96132e-06,45.1
43,54,0.884615,16,relu,0.654868,9.01235,0.000261613,80,False,4.66843e-06,57.9
44,63,0.884615,64,gelu,0.615878,4.52684,0.00186398,95,False,1.61737e-07,54.8
45,65,0.884615,64,gelu,0.668941,8.35929,0.00110435,90,False,6.14722e-06,53.5
46,66,0.884615,64,gelu,0.295436,5.13985,0.00316661,70,False,1.69367e-05,40.9
47,72,0.884615,16,relu,0.499868,8.73573,0.000507699,80,False,4.16845e-06,55.0
48,73,0.884615,16,relu,0.518949,5.8076,0.000197937,60,False,8.02014e-07,46.2
49,74,0.884615,16,relu,0.362607,5.42438,0.00108975,85,False,1.65805e-06,70.9
50,75,0.884615,16,relu,0.462149,8.22959,0.00237614,95,False,8.42149e-06,70.6
51,80,0.884615,64,gelu,0.447236,9.34243,0.000912448,80,False,5.72613e-06,48.2
52,82,0.884615,16,gelu,0.476088,9.11472,0.00162515,65,False,3.57752e-06,50.5
53,85,0.884615,16,gelu,0.525478,9.58186,0.00253893,75,False,1.35282e-05,55.2
54,88,0.884615,16,gelu,0.26589,6.61356,0.00411236,65,False,0.000191353,41.7
55,89,0.884615,16,gelu,0.226258,5.25059,0.00278801,70,False,0.000114299,49.0
56,90,0.884615,16,gelu,0.150982,6.28654,0.00148226,60,False,5.25835e-05,42.5
57,92,0.884615,16,gelu,0.176187,4.74526,0.0020088,50,False,5.94137e-05,33.0
58,94,0.884615,16,gelu,0.0495006,6.05761,0.000790232,65,False,0.000473397,44.0
59,95,0.884615,16,gelu,0.317888,8.85537,0.00206587,55,False,3.18174e-05,40.8
60,100,0.884615,16,gelu,0.236993,4.19777,0.000326687,75,False,3.00929e-05,49.3
61,102,0.884615,32,gelu,0.4377,9.04754,0.00112637,15,False,0.000117733,13.0
62,107,0.884615,32,gelu,0.456281,5.82875,0.00146346,65,False,4.77241e-05,46.2
63,115,0.884615,16,gelu,0.55905,9.25206,0.000428532,90,False,0.000146137,68.4
64,116,0.884615,16,gelu,0.50531,8.45084,0.000582095,100,False,6.23606e-05,66.8
65,121,0.884615,16,gelu,0.0884184,8.26813,0.00088177,90,False,1.44662e-05,50.5
66,125,0.884615,16,gelu,0.561763,8.95513,0.000373389,95,False,3.51474e-05,62.1
67,128,0.884615,16,gelu,0.459729,4.44286,0.00157201,85,False,0.000132952,58.1
68,129,0.884615,16,gelu,0.411875,9.20924,0.000284668,75,False,7.12957e-05,56.6
69,130,0.884615,16,gelu,0.497449,9.39967,0.0021197,95,False,4.23965e-05,64.9
70,135,0.884615,16,gelu,0.48055,8.62645,0.0007013,90,False,1.50609e-05,63.1
71,145,0.884615,32,gelu,0.552738,8.8528,0.00108528,65,True,4.81461e-05,40.1
72,150,0.884615,16,gelu,0.430949,8.68074,0.000722937,65,False,3.51506e-06,44.9
73,152,0.884615,16,gelu,0.49157,9.98955,0.0018307,95,False,1.23909e-05,65.4
74,153,0.884615,16,gelu,0.471639,9.64748,0.000979713,90,False,2.01796e-05,60.0
75,161,0.884615,16,gelu,0.546476,9.44307,0.00162247,90,False,2.77338e-05,53.6
