rank,trial,value,dataset.batch_size,model.activation,model.dropout,optim.grad_clip,optim.lr,optim.patience,optim.use_scheduler,optim.weight_decay,duration_s
1,36,0.935897,16,gelu,0.650238,1.00094,0.00051078,50,True,5.51091e-05,52.2
2,133,0.935897,16,gelu,0.662915,2.37036,0.000407077,45,True,3.98496e-05,51.5
3,146,0.935897,16,gelu,0.607414,2.97112,0.000476496,45,True,1.66937e-05,52.0
4,172,0.935897,16,gelu,0.671258,0.216509,0.000483309,35,True,3.13321e-05,52.4
5,19,0.923077,16,gelu,0.522297,5.50569,0.000218554,30,False,0.000670135,52.1
6,26,0.923077,16,gelu,0.692905,4.18625,0.000246946,30,False,3.17097e-05,51.0
7,39,0.923077,16,relu,0.411482,7.57415,0.00277242,85,True,0.000119485,52.5
8,47,0.923077,16,gelu,0.434106,3.28617,0.00274836,55,True,0.000467935,44.6
9,53,0.923077,16,gelu,0.59744,2.03925,0.00299242,65,True,0.000229415,52.5
10,61,0.923077,16,gelu,0.605029,5.01011,0.000384272,30,False,0.000216754,52.0
11,80,0.923077,16,gelu,0.464078,4.26696,0.00168832,20,True,0.00032324,21.0
12,96,0.923077,16,gelu,0.609897,0.842796,0.00234895,35,True,0.000395869,52.7
13,111,0.923077,16,gelu,0.667989,2.99734,0.000250134,45,True,4.12031e-05,51.5
14,113,0.923077,16,gelu,0.657425,1.08884,0.000256377,45,True,2.07311e-05,51.9
15,116,0.923077,16,gelu,0.66381,2.49462,0.000238163,40,True,1.37834e-05,52.1
16,117,0.923077,16,gelu,0.689178,2.81372,0.000207947,40,True,7.13597e-06,52.6
17,118,0.923077,16,gelu,0.667619,2.41803,0.000273735,40,True,1.50677e-05,51.9
18,122,0.923077,16,gelu,0.687245,2.77295,0.000225042,40,True,6.63513e-06,53.0
19,126,0.923077,16,gelu,0.674905,0.458606,0.000361075,35,True,3.44792e-05,52.8
20,128,0.923077,16,gelu,0.655334,1.01561,0.000229142,35,True,6.24351e-06,51.7
21,130,0.923077,16,gelu,0.42619,9.34231,0.00168656,50,True,2.12042e-05,39.0
22,131,0.923077,16,gelu,0.669403,2.45725,0.000268332,40,True,1.67657e-05,52.9
23,132,0.923077,16,gelu,0.688016,2.07971,0.000199304,40,True,1.43912e-05,52.3
24,134,0.923077,16,gelu,0.65426,2.57819,0.000427519,45,True,3.96289e-05,52.4
25,136,0.923077,16,gelu,0.685022,2.8069,0.000598721,50,True,4.56273e-05,53.3
26,139,0.923077,16,gelu,0.662562,4.6204,0.000822018,60,True,6.27962e-05,52.5
27,141,0.923077,16,gelu,0.671467,2.31623,0.000302923,35,True,1.28338e-05,53.4
28,143,0.923077,16,gelu,0.699721,2.45125,0.000374076,40,True,8.81695e-06,51.9
29,152,0.923077,16,gelu,0.639993,3.20346,0.000309712,40,True,2.14107e-05,51.8
30,161,0.923077,16,gelu,0.693688,2.6664,0.000216951,90,True,1.07735e-05,52.0
31,162,0.923077,16,gelu,0.689376,2.96268,0.000343791,40,True,5.59012e-06,51.9
32,163,0.923077,16,gelu,0.678064,3.43021,0.000228121,40,True,3.88772e-06,52.1
