rank,trial,value,dataset.batch_size,model.activation,model.dropout,model.kernel_topology_names,optim.grad_clip,optim.lr,optim.patience,optim.use_scheduler,optim.weight_decay,duration_s
1,34,0.948718,64,gelu,0.613238,"['grid', 'chain', 'horizontal', 'ring']",5.24168,0.000768142,36,False,2.62554e-08,37.9
2,48,0.948718,64,relu,0.477565,"['grid', 'chain', 'horizontal', 'ring']",6.26941,0.000775118,41,True,2.29816e-08,36.4
3,59,0.948718,64,relu,0.484741,"['grid', 'chain', 'horizontal', 'cross']",4.14906,0.00322985,26,True,2.27372e-07,29.8
4,65,0.948718,64,gelu,0.494381,"['grid', 'chain', 'horizontal', 'vertical']",4.35316,0.00292333,31,True,6.85479e-07,25.3
5,73,0.948718,64,relu,0.642849,"['grid', 'chain', 'horizontal', 'cross']",6.10274,0.00186771,41,True,1.52256e-08,41.0
6,154,0.948718,64,relu,0.33424,"['grid', 'chain', 'horizontal', 'ring']",5.78103,0.00368939,41,True,2.3388e-07,34.7
7,6,0.935897,64,gelu,0.565684,"['grid', 'chain', 'horizontal', 'cross']",0.769799,0.000202238,26,False,1.39313e-07,40.5
8,35,0.935897,64,gelu,0.620181,"['grid', 'chain', 'horizontal', 'ring']",5.16057,0.000698413,41,True,2.93099e-08,37.3
9,36,0.935897,64,relu,0.622154,"['grid', 'chain', 'horizontal', 'ring']",5.04085,0.000706803,41,True,2.85691e-08,41.0
10,39,0.935897,64,relu,0.611488,"['grid', 'chain', 'horizontal', 'ring']",6.61901,0.000428831,41,True,1.0318e-08,41.2
11,49,0.935897,64,relu,0.47074,"['grid', 'chain', 'horizontal', 'ring']",5.58389,0.000805962,51,True,4.63729e-07,40.0
12,54,0.935897,64,relu,0.580249,"['grid', 'chain', 'horizontal', 'ring']",6.34794,0.000654682,46,True,6.99484e-08,43.6
13,62,0.935897,64,relu,0.665694,"['grid', 'chain', 'horizontal', 'cross']",6.35182,0.00146249,36,True,4.87788e-08,40.9
14,81,0.935897,64,relu,0.599958,"['grid', 'chain', 'horizontal', 'ring']",6.43759,0.000662208,41,True,1.87506e-08,40.6
15,82,0.935897,64,relu,0.624951,"['grid', 'chain', 'horizontal', 'ring']",6.83295,0.000401486,36,True,2.75087e-08,41.2
16,91,0.935897,64,relu,0.471275,"['grid', 'chain', 'horizontal', 'ring']",5.62299,0.000748753,61,True,8.07253e-07,40.5
17,94,0.935897,64,relu,0.392954,"['grid', 'chain', 'horizontal', 'ring']",6.18472,0.00159894,46,True,1.41337e-07,35.3
18,96,0.935897,64,relu,0.528263,"['grid', 'chain', 'horizontal', 'ring']",7.03327,0.00376301,41,True,1.05321e-07,41.1
19,101,0.935897,64,relu,0.574148,"['grid', 'chain', 'horizontal', 'ring']",6.55229,0.000320664,46,True,1.94099e-07,40.4
