rank,trial,value,dataset.batch_size,model.activation,model.dropout,model.kernel_topology_names,optim.grad_clip,optim.lr,optim.patience,optim.use_scheduler,optim.weight_decay,duration_s
1,188,0.980916,16,gelu,0.683492,['ring'],0.815953,0.00145659,71,True,1.41053e-05,151.3
2,191,0.980916,16,gelu,0.686995,['ring'],0.702166,0.00100947,66,True,1.35631e-05,150.2
3,14,0.979008,16,gelu,0.562852,['kings'],1.35334,0.000234273,71,True,5.16002e-07,134.1
4,62,0.979008,16,gelu,0.601908,['chain'],4.64351,0.00107701,66,True,9.88838e-06,136.5
5,98,0.979008,16,relu,0.549461,['vertical'],1.7303,0.00398216,51,True,1.00601e-06,135.4
6,130,0.979008,16,gelu,0.625743,['kings'],0.547197,0.00374146,61,True,5.53175e-05,127.6
7,131,0.979008,16,gelu,0.621626,['kings'],0.354613,0.00323132,61,True,0.000105658,137.1
8,187,0.979008,16,gelu,0.683778,['ring'],0.763708,0.00161783,76,True,1.45237e-05,143.8
9,189,0.979008,16,gelu,0.688731,['ring'],0.799358,0.00126532,66,True,4.2656e-06,151.4
10,193,0.979008,16,gelu,0.681067,['ring'],0.764903,0.000614233,66,True,9.22119e-06,139.8
11,194,0.979008,16,gelu,0.68644,['ring'],0.771412,0.000308206,66,True,8.59494e-06,149.6
12,197,0.979008,16,gelu,0.694696,['ring'],0.92066,0.000528981,61,True,6.06195e-06,145.9
13,198,0.979008,16,gelu,0.695428,['ring'],0.942605,0.000383794,61,True,5.79422e-06,142.5
14,51,0.977099,16,gelu,0.663785,['kings'],1.64571,0.000941644,71,True,2.66402e-05,136.8
15,52,0.977099,16,gelu,0.603724,['kings'],0.988277,0.000937506,56,True,1.95962e-05,113.4
16,88,0.977099,16,gelu,0.585128,['vertical'],1.42332,0.00387662,86,True,7.31445e-07,140.6
17,90,0.977099,16,gelu,0.68022,['vertical'],0.481659,0.00319255,86,True,3.83016e-07,133.5
18,145,0.977099,16,gelu,0.635393,['kings'],0.524704,0.00111508,76,True,1.80161e-05,142.1
19,146,0.977099,16,gelu,0.636107,['kings'],0.779522,0.00102558,71,True,1.5494e-05,146.6
20,147,0.977099,16,gelu,0.63803,['kings'],0.747748,0.000496622,66,True,1.74297e-05,135.1
21,151,0.977099,16,gelu,0.610397,['kings'],0.603641,0.00118054,76,True,7.8583e-06,144.7
22,161,0.977099,16,gelu,0.587916,['kings'],0.539567,0.00266337,76,True,1.72139e-05,134.7
23,162,0.977099,16,gelu,0.611169,['kings'],5.38972,0.0012558,76,True,2.36548e-05,145.5
24,178,0.977099,16,gelu,0.598235,['ring'],2.00305,0.00259588,71,True,2.88429e-06,140.1
25,183,0.977099,16,gelu,0.638912,['ring'],0.249574,0.00285094,71,True,2.02451e-05,139.0
26,185,0.977099,16,gelu,0.640083,['ring'],0.207488,0.00166413,71,True,1.60145e-05,140.0
27,192,0.977099,16,gelu,0.697741,['ring'],0.599346,0.000938111,66,True,6.75489e-06,148.8
28,195,0.977099,16,gelu,0.682069,['ring'],0.776473,0.000309389,66,True,7.99053e-06,142.7
29,33,0.975191,64,gelu,0.591979,['cross'],1.76225,0.00185448,76,True,5.61871e-07,67.0
30,54,0.975191,16,gelu,0.624764,['kings'],0.276216,0.00350689,56,True,2.41083e-05,120.0
31,60,0.975191,16,gelu,0.636592,['chain'],4.94656,0.0045626,56,True,2.38798e-05,140.9
32,87,0.975191,16,gelu,0.583893,['vertical'],0.458817,0.00359755,81,True,3.73067e-07,140.3
33,89,0.975191,16,gelu,0.582973,['vertical'],1.47219,0.00369098,86,True,2.26038e-07,134.1
34,92,0.975191,16,gelu,0.681611,['vertical'],0.423561,0.00208143,86,True,7.2443e-07,139.9
35,121,0.975191,16,gelu,0.672697,['vertical'],0.473852,0.00201095,86,True,6.88542e-07,140.8
36,163,0.975191,16,gelu,0.604308,['kings'],5.56142,0.00111337,76,True,1.72133e-05,135.2
37,172,0.975191,16,gelu,0.648046,['kings'],0.661919,0.00498269,76,True,2.51627e-05,149.7
38,182,0.975191,16,gelu,0.612924,['kings'],0.491113,0.00192478,76,True,1.14448e-05,146.2
39,186,0.975191,16,gelu,0.641348,['ring'],0.186072,0.000881908,71,True,9.89917e-06,139.0
40,196,0.975191,16,gelu,0.679999,['ring'],1.17716,0.00023222,66,True,9.93816e-06,150.3
41,4,0.973282,16,gelu,0.539677,['kings'],1.19594,0.00113815,71,True,2.29654e-06,116.8
42,16,0.973282,64,gelu,0.340872,['kings'],0.0487072,0.000299336,76,True,5.82658e-06,67.2
43,25,0.973282,64,gelu,0.511384,['kings'],0.912713,0.000266764,71,True,5.71774e-06,66.4
44,27,0.973282,16,gelu,0.638023,['kings'],1.68882,0.00121233,71,True,3.12181e-05,140.9
45,41,0.973282,64,gelu,0.610866,['kings'],0.768475,0.000515309,66,True,4.94531e-06,66.8
46,58,0.973282,16,gelu,0.594896,['star'],2.24949,0.000961464,61,True,0.00047619,132.6
47,66,0.973282,16,gelu,0.649586,['chain'],5.24575,0.000421831,66,True,6.2602e-05,138.7
48,72,0.973282,16,gelu,0.63178,['kings'],7.75021,0.000680311,71,True,3.08362e-05,129.1
49,77,0.973282,16,gelu,0.596342,['cross'],2.70177,0.00263923,56,True,1.70566e-05,115.3
50,93,0.973282,16,gelu,0.655497,['vertical'],0.873133,0.00367273,96,True,5.41979e-07,143.9
51,104,0.973282,16,gelu,0.600458,['chain'],0.970444,0.000915424,61,True,5.51867e-07,126.1
52,106,0.973282,32,gelu,0.522716,['ring'],1.66685,0.00297425,51,True,3.25444e-05,66.9
53,107,0.973282,16,relu,0.633547,['chain'],2.3423,0.00125337,91,True,2.22489e-05,135.5
54,112,0.973282,16,gelu,0.62214,['vertical'],1.43763,0.00369364,91,True,2.87646e-07,146.4
55,113,0.973282,16,gelu,0.565583,['vertical'],2.63715,0.00282764,86,True,3.29402e-08,139.0
56,136,0.973282,16,gelu,0.579794,['kings'],4.78769,0.0029361,61,False,4.01861e-05,140.4
57,141,0.973282,16,gelu,0.698789,['horizontal'],0.537413,0.00211599,56,True,5.95107e-07,146.4
58,149,0.973282,16,gelu,0.647682,['kings'],0.163046,0.000360277,71,True,2.08668e-05,139.4
59,153,0.973282,16,gelu,0.637662,['kings'],0.944241,0.000563014,76,True,9.06013e-06,137.5
60,167,0.973282,16,gelu,0.601169,['kings'],0.0211432,0.000783449,71,True,1.33452e-05,144.0
61,168,0.973282,16,gelu,0.620974,['star'],0.384157,0.00231472,71,True,4.5322e-05,141.4
62,175,0.973282,16,gelu,0.571069,['kings'],5.47998,0.00139485,56,True,1.41389e-05,106.1
63,177,0.973282,16,gelu,0.675452,['chain'],4.29694,0.00190862,51,True,5.86074e-06,142.4
64,179,0.973282,32,gelu,0.5956,['ring'],2.01376,0.00116542,66,True,3.39359e-06,91.2
65,180,0.973282,16,gelu,0.578274,['ring'],1.48393,0.00255078,76,True,2.48469e-06,142.4
66,181,0.973282,16,gelu,0.598374,['ring'],1.89964,0.00332852,71,True,2.58696e-05,132.7
67,199,0.973282,16,gelu,0.690613,['ring'],0.931991,0.000134893,61,True,5.35444e-06,145.9
68,13,0.971374,16,relu,0.554379,['kings'],1.74561,0.000276352,66,True,1.07744e-06,132.8
69,17,0.971374,16,gelu,0.567497,['kings'],1.24249,0.00055942,41,True,9.57965e-07,94.8
70,21,0.971374,64,gelu,0.362102,['kings'],0.209324,0.000878229,71,True,2.54776e-06,62.8
71,26,0.971374,16,gelu,0.285484,['kings'],0.0234251,7.37142e-05,91,False,4.32771e-07,136.2
72,31,0.971374,64,gelu,0.535325,['kings'],0.943311,0.000282869,71,True,7.83687e-06,67.5
73,32,0.971374,64,gelu,0.53486,['kings'],0.0969326,0.000322051,66,True,5.24628e-06,67.1
74,36,0.971374,64,relu,0.471784,['cross'],1.81424,0.002623,76,True,2.18129e-06,65.1
75,38,0.971374,32,gelu,0.692509,['ring'],7.00149,0.000145489,31,True,5.47659e-07,88.5
76,59,0.971374,16,gelu,0.557394,['kings'],0.945435,0.00191265,36,True,0.000114211,80.3
77,63,0.971374,16,gelu,0.599854,['chain'],4.94506,0.00102816,66,True,1.00403e-05,132.5
78,68,0.971374,16,relu,0.588915,['chain'],3.65347,0.000816497,66,True,2.01581e-05,135.5
79,73,0.971374,16,gelu,0.543476,['kings'],0.261292,0.000424397,61,True,1.12041e-05,126.9
80,74,0.971374,16,gelu,0.566382,['kings'],1.63707,0.00217122,71,True,4.2984e-06,136.3
81,79,0.971374,16,relu,0.525623,['chain'],1.10532,0.00499277,51,True,1.06756e-07,132.1
82,80,0.971374,16,gelu,0.496142,['grid'],3.32832,0.000351559,66,True,8.38928e-05,117.6
83,83,0.971374,64,gelu,0.33791,['kings'],0.68554,0.00024237,71,True,7.81836e-06,65.7
84,86,0.971374,64,gelu,0.317506,['kings'],2.31427,0.00052528,71,True,1.21426e-05,63.7
85,100,0.971374,16,relu,0.623522,['vertical'],2.05506,0.00155624,41,True,7.28505e-07,135.4
86,111,0.971374,16,gelu,0.584253,['vertical'],1.5257,0.00202884,86,True,2.2438e-07,139.1
87,115,0.971374,16,gelu,0.648926,['grid'],1.91189,0.00148041,61,True,4.06456e-07,134.9
88,122,0.971374,16,gelu,0.686153,['vertical'],0.934609,0.00246734,86,True,5.31264e-07,138.9
89,123,0.971374,16,gelu,0.627898,['vertical'],0.0397319,0.0048947,81,True,1.56731e-07,147.5
90,127,0.971374,16,gelu,0.593935,['kings'],2.16999,0.00100015,86,True,9.83705e-07,143.7
91,134,0.971374,16,gelu,0.593154,['kings'],1.23383,0.00407192,61,True,6.31046e-05,137.3
92,135,0.971374,16,gelu,0.154947,['kings'],1.52795,0.00491135,56,True,8.37668e-05,87.8
93,137,0.971374,16,gelu,0.607687,['kings'],0.780586,0.00137862,51,True,5.23691e-05,114.7
94,150,0.971374,16,relu,0.627334,['kings'],1.13159,0.000654111,66,True,1.80447e-05,137.3
95,154,0.971374,16,gelu,0.657222,['kings'],0.533431,0.00116128,71,True,1.06628e-05,137.8
96,158,0.971374,16,gelu,0.666678,['kings'],0.240131,0.000747974,66,True,1.60537e-05,140.7
97,166,0.971374,16,gelu,0.61505,['kings'],0.608848,0.000575878,76,True,2.7598e-05,155.9
98,171,0.971374,16,gelu,0.633692,['chain'],5.22887,0.00293509,56,True,2.31762e-05,140.8
99,173,0.971374,16,gelu,0.616699,['kings'],5.07171,0.000913194,61,True,3.23468e-05,141.9
100,15,0.969466,16,gelu,0.591893,['grid'],5.09359,0.000304067,41,True,7.7175e-07,106.9
101,24,0.969466,64,gelu,0.376491,['ring'],2.24022,0.00108553,61,True,1.84774e-06,48.7
102,45,0.969466,16,gelu,0.552365,['grid'],9.28091,0.000652435,66,True,7.50376e-05,137.5
103,53,0.969466,16,gelu,0.673026,['kings'],1.58556,0.000785545,46,True,5.88484e-05,110.3
104,56,0.969466,16,gelu,0.622481,['horizontal'],3.01894,0.00152423,46,True,1.94843e-05,135.0
105,71,0.969466,16,gelu,0.608466,['kings'],1.837,0.00125225,71,True,8.57387e-07,134.1
106,76,0.969466,32,gelu,0.6572,['kings'],0.695466,0.00113928,76,True,6.80556e-06,92.2
107,95,0.969466,16,gelu,0.617704,['vertical'],4.11193,0.00125808,91,True,1.222e-06,136.5
108,96,0.969466,16,gelu,0.600316,['vertical'],1.1822,0.00185757,81,True,4.6525e-07,141.2
109,118,0.969466,16,gelu,0.638996,['vertical'],7.34342,0.000700236,51,True,2.00345e-06,123.2
110,124,0.969466,16,gelu,0.556433,['vertical'],0.368215,0.00134213,96,True,1.84436e-05,142.6
111,126,0.969466,16,gelu,0.572852,['chain'],0.640762,0.00387851,81,True,7.71774e-07,143.6
112,128,0.969466,16,gelu,0.65547,['ring'],1.05685,0.00171429,66,True,2.77136e-07,136.9
113,142,0.969466,16,gelu,0.66935,['cross'],0.33961,0.00159581,66,True,4.8367e-07,140.0
114,143,0.969466,16,gelu,0.645386,['vertical'],0.378291,0.000846627,61,True,2.38401e-05,142.1
115,148,0.969466,32,gelu,0.633685,['kings'],0.838221,0.000485315,71,True,1.42124e-05,95.1
116,156,0.969466,16,gelu,0.600538,['kings'],0.763203,0.00113352,61,True,3.60433e-05,138.6
117,157,0.969466,64,gelu,0.629559,['kings'],1.11119,0.000425296,71,True,6.691e-06,72.3
118,164,0.969466,16,gelu,0.589026,['kings'],5.91487,0.00127618,76,True,2.1051e-05,139.9
119,170,0.969466,64,gelu,0.587305,['kings'],1.67871,0.00169298,66,True,1.63268e-05,68.5
120,184,0.969466,16,gelu,0.660946,['ring'],0.328661,0.00276188,71,True,1.87308e-05,143.7
121,10,0.967557,16,relu,0.0109164,['star'],2.49625,0.00206066,61,True,9.94434e-05,84.2
122,34,0.967557,64,gelu,0.613238,['cross'],2.52267,0.00211326,81,False,4.69604e-07,65.4
123,42,0.967557,64,gelu,0.507059,['chain'],1.32972,0.00136839,56,True,6.52433e-06,51.0
124,43,0.967557,64,gelu,0.51411,['kings'],2.07886,0.000164741,71,True,1.57963e-05,67.9
125,65,0.967557,16,gelu,0.629889,['chain'],5.80976,0.0028729,51,True,1.45117e-05,122.9
126,84,0.967557,16,gelu,0.387643,['kings'],0.858541,0.00157622,66,True,1.46219e-05,106.4
127,85,0.967557,16,gelu,0.424416,['star'],1.92903,0.000847579,76,True,1.61898e-06,126.9
128,91,0.967557,16,gelu,0.638385,['vertical'],1.10917,0.00315535,91,True,3.55e-07,140.9
129,94,0.967557,16,gelu,0.562239,['vertical'],0.51508,0.002425,81,True,6.26879e-08,125.0
130,114,0.967557,16,gelu,0.659166,['vertical'],0.449017,0.00102902,36,True,2.27506e-07,91.6
131,117,0.967557,16,gelu,0.539019,['chain'],0.748477,0.00375883,71,True,1.3941e-06,137.4
132,119,0.967557,16,gelu,0.607574,['cross'],3.9597,0.00190673,56,True,8.7243e-07,124.0
133,129,0.967557,64,gelu,0.612744,['vertical'],0.837945,0.00238325,46,True,1.21718e-05,60.8
134,132,0.967557,16,gelu,0.62293,['kings'],0.234342,0.00325537,61,True,0.000116062,134.0
135,152,0.967557,16,gelu,0.612337,['kings'],0.652965,0.000951681,76,True,8.16346e-06,143.7
