rank,trial,value,dataset.batch_size,model.activation,model.dropout,model.kernel_topology_names,optim.grad_clip,optim.lr,optim.patience,optim.use_scheduler,optim.weight_decay,duration_s
1,37,0.982824,16,relu,0.645511,"['grid', 'chain', 'horizontal', 'kings']",4.76153,0.000120599,31,True,7.78434e-07,173.7
2,44,0.980916,16,relu,0.548479,"['grid', 'chain', 'horizontal', 'kings']",3.11441,9.2589e-05,16,True,1.76661e-05,80.3
3,84,0.979008,16,relu,0.554359,"['grid', 'chain', 'horizontal', 'kings']",4.7935,0.000833815,21,True,7.68961e-06,88.0
4,110,0.979008,16,relu,0.323951,"['grid', 'chain', 'horizontal', 'kings']",8.14835,3.49277e-05,11,False,5.91874e-07,90.6
5,160,0.979008,16,relu,0.156759,"['grid', 'chain', 'horizontal', 'kings']",4.01971,7.39797e-05,11,True,2.67387e-06,45.3
6,183,0.979008,16,relu,0.642809,"['grid', 'chain', 'horizontal', 'kings']",4.5146,0.000132555,21,True,1.49772e-06,107.6
7,192,0.979008,16,relu,0.659067,"['grid', 'chain', 'horizontal', 'kings']",4.17468,0.000221001,26,True,6.45063e-07,113.6
8,199,0.979008,16,relu,0.636363,"['grid', 'chain', 'horizontal', 'kings']",5.1579,0.000829292,31,True,1.15066e-06,182.9
9,20,0.977099,16,relu,0.0118154,"['grid', 'chain', 'horizontal', 'vertical']",3.58562,1.66655e-05,11,False,4.39408e-06,86.8
10,24,0.977099,16,relu,0.0662927,"['grid', 'chain', 'horizontal', 'vertical']",4.05904,7.06545e-06,16,False,4.73862e-07,175.1
11,31,0.977099,16,relu,0.0354721,"['grid', 'chain', 'horizontal', 'vertical']",3.41354,1.23376e-05,11,False,6.27511e-06,109.8
12,35,0.977099,16,relu,0.500625,"['grid', 'chain', 'horizontal', 'kings']",3.24321,0.000131061,26,True,4.33777e-06,107.9
13,65,0.977099,16,relu,0.0955623,"['grid', 'chain', 'horizontal', 'vertical']",2.15777,5.60586e-06,16,False,1.05223e-05,179.2
14,111,0.977099,16,relu,0.313873,"['grid', 'chain', 'horizontal', 'kings']",4.47224,3.39115e-05,11,False,3.49031e-07,91.6
15,133,0.977099,16,relu,0.107678,"['grid', 'chain', 'horizontal', 'kings']",3.02239,7.14272e-06,26,False,4.92444e-07,180.9
16,172,0.977099,16,relu,0.646352,"['grid', 'chain', 'horizontal', 'kings']",4.3065,0.000156741,26,True,8.31209e-07,136.3
17,191,0.977099,16,relu,0.655074,"['grid', 'chain', 'horizontal', 'kings']",4.07801,0.000188179,26,True,7.9926e-07,173.3
18,193,0.977099,16,relu,0.657869,"['grid', 'chain', 'horizontal', 'kings']",4.01471,0.000291582,26,True,7.36697e-07,171.1
19,197,0.977099,16,relu,0.618951,"['grid', 'chain', 'horizontal', 'kings']",4.71243,0.000432676,31,True,5.28358e-07,160.5
20,18,0.975191,16,relu,0.00452702,"['grid', 'chain', 'horizontal', 'vertical']",1.77111,1.16118e-05,11,False,7.40895e-06,109.5
21,43,0.975191,16,relu,0.646927,"['grid', 'chain', 'horizontal', 'kings']",3.82944,0.000176779,21,True,1.89463e-06,163.9
22,61,0.975191,16,relu,0.0839182,"['grid', 'chain', 'horizontal', 'vertical']",1.85067,1.40191e-05,21,False,6.70535e-06,142.1
23,68,0.975191,16,relu,0.201963,"['grid', 'chain', 'horizontal', 'kings']",2.70495,1.90411e-05,21,False,3.51978e-07,136.3
24,80,0.975191,16,relu,0.252088,"['grid', 'chain', 'horizontal', 'ring']",0.467727,1.87904e-05,16,False,2.41273e-06,148.5
25,83,0.975191,16,relu,0.648006,"['grid', 'chain', 'horizontal', 'kings']",3.89484,0.0002009,26,True,1.06025e-06,133.0
26,91,0.975191,16,relu,0.656245,"['grid', 'chain', 'horizontal', 'kings']",3.49925,4.66906e-05,21,True,2.19396e-06,178.9
27,92,0.975191,16,relu,0.624206,"['grid', 'chain', 'horizontal', 'kings']",3.27175,0.000115895,21,True,3.50456e-06,107.5
28,103,0.975191,16,relu,0.0349589,"['grid', 'chain', 'horizontal', 'vertical']",3.09784,4.73187e-06,21,False,2.91801e-06,178.5
29,104,0.975191,16,relu,0.100025,"['grid', 'chain', 'horizontal', 'vertical']",4.06129,9.15069e-06,31,False,4.50791e-07,177.8
30,117,0.975191,16,relu,0.317937,"['grid', 'chain', 'horizontal', 'kings']",4.84613,0.000115048,16,True,6.08115e-07,50.4
31,134,0.975191,16,relu,0.105283,"['grid', 'chain', 'horizontal', 'kings']",3.00946,6.76816e-06,26,False,6.96877e-07,176.9
32,165,0.975191,16,relu,0.578043,"['grid', 'chain', 'horizontal', 'kings']",3.61668,0.000192677,11,True,1.09972e-06,88.2
33,185,0.975191,16,relu,0.620669,"['grid', 'chain', 'horizontal', 'kings']",4.73058,0.000121323,16,True,1.49903e-06,107.1
34,195,0.975191,16,relu,0.67935,"['grid', 'chain', 'horizontal', 'kings']",4.44479,0.000241297,26,True,7.35585e-07,132.9
35,21,0.973282,16,relu,0.00501829,"['grid', 'chain', 'horizontal', 'vertical']",3.40902,1.63425e-05,11,False,8.15192e-06,83.8
36,34,0.973282,16,relu,0.102656,"['grid', 'chain', 'horizontal', 'vertical']",3.98728,6.82903e-06,6,False,4.47743e-06,145.5
37,54,0.973282,16,relu,0.411268,"['grid', 'chain', 'horizontal', 'kings']",3.30135,6.72886e-05,31,True,4.53958e-06,118.7
38,58,0.973282,16,relu,0.566932,"['grid', 'chain', 'horizontal', 'kings']",7.12492,0.000383418,11,False,2.68985e-06,64.4
39,76,0.973282,16,relu,0.169661,"['grid', 'chain', 'horizontal', 'kings']",2.43995,1.18343e-05,51,False,1.7687e-06,184.1
40,93,0.973282,16,relu,0.582959,"['grid', 'chain', 'horizontal', 'kings']",4.15918,0.00217879,26,True,2.35819e-07,112.8
41,94,0.973282,16,relu,0.56545,"['grid', 'chain', 'horizontal', 'kings']",4.49511,0.000243465,31,True,8.99625e-07,122.7
42,102,0.973282,16,relu,0.0598771,"['grid', 'chain', 'horizontal', 'vertical']",2.65819,1.3627e-05,16,False,6.84019e-06,122.1
43,112,0.973282,16,relu,0.345262,"['grid', 'chain', 'horizontal', 'kings']",7.96534,3.10349e-05,11,False,2.76821e-07,89.0
44,118,0.973282,16,relu,0.428642,"['grid', 'chain', 'horizontal', 'kings']",3.77244,1.11101e-05,11,False,3.29977e-07,174.1
45,123,0.973282,16,relu,0.0263467,"['grid', 'chain', 'horizontal', 'vertical']",3.98243,3.14296e-05,21,False,4.63191e-06,84.9
46,125,0.973282,16,relu,0.0731297,"['grid', 'chain', 'horizontal', 'vertical']",2.88657,1.25768e-05,16,False,2.94362e-06,145.3
47,129,0.973282,16,relu,0.000193122,"['grid', 'chain', 'horizontal', 'kings']",7.10065,4.26585e-06,6,False,1.19803e-06,170.3
48,144,0.973282,16,relu,0.236795,"['grid', 'chain', 'horizontal', 'kings']",2.59724,0.0001222,16,False,1.64894e-07,48.8
49,152,0.973282,16,relu,0.634805,"['grid', 'chain', 'horizontal', 'ring']",3.69058,1.73494e-05,56,False,2.84704e-07,180.2
50,153,0.973282,16,relu,0.257051,"['grid', 'chain', 'horizontal', 'ring']",4.44031,1.14149e-05,16,False,5.77585e-07,173.3
51,177,0.973282,16,relu,0.0128693,"['grid', 'chain', 'horizontal', 'ring']",4.08468,2.42052e-05,16,False,8.92996e-06,91.6
52,181,0.973282,16,relu,0.633058,"['grid', 'chain', 'horizontal', 'kings']",3.86799,0.000203964,26,True,1.25063e-06,177.7
53,182,0.973282,16,relu,0.647153,"['grid', 'chain', 'horizontal', 'kings']",4.13016,0.000300481,31,True,5.40426e-07,139.2
54,184,0.973282,16,relu,0.602724,"['grid', 'chain', 'horizontal', 'kings']",4.39202,9.4001e-05,21,True,2.05357e-06,162.9
55,194,0.973282,16,relu,0.651804,"['grid', 'chain', 'horizontal', 'kings']",4.19183,0.000357344,26,True,8.37688e-07,135.8
56,196,0.973282,16,relu,0.693146,"['grid', 'chain', 'horizontal', 'kings']",3.97094,0.000234808,26,True,6.37796e-07,174.5
57,16,0.971374,16,gelu,0.000842991,"['grid', 'chain', 'horizontal', 'vertical']",1.54724,1.8072e-05,16,False,8.82386e-06,91.7
58,36,0.971374,64,relu,0.465981,"['grid', 'chain', 'horizontal', 'kings']",3.26145,9.9452e-05,26,True,5.23329e-07,65.5
59,38,0.971374,16,relu,0.690721,"['grid', 'chain', 'horizontal', 'kings']",4.64409,3.08775e-05,41,True,1.03318e-07,180.5
60,48,0.971374,32,relu,0.606126,"['grid', 'chain', 'horizontal', 'cross']",3.59759,0.000449973,36,True,1.86411e-05,129.1
61,49,0.971374,16,relu,0.299924,"['grid', 'chain', 'horizontal', 'kings']",4.84169,3.62611e-05,31,False,0.000164576,120.3
62,51,0.971374,16,relu,0.499318,"['grid', 'chain', 'horizontal', 'kings']",3.12266,0.000107791,26,True,4.30758e-07,115.5
63,60,0.971374,16,gelu,0.0230028,"['grid', 'chain', 'horizontal', 'vertical']",1.11635,8.65354e-06,96,True,6.07854e-06,176.5
64,62,0.971374,16,relu,0.0273417,"['grid', 'chain', 'horizontal', 'vertical']",1.3026,4.78987e-05,11,False,1.1632e-05,88.7
65,71,0.971374,16,relu,0.00319456,"['grid', 'chain', 'horizontal', 'vertical']",1.81665,6.85676e-05,11,False,8.31181e-06,41.3
66,82,0.971374,16,relu,0.589258,"['grid', 'chain', 'horizontal', 'kings']",4.41745,0.000312539,11,True,1.8532e-06,94.7
67,106,0.971374,32,relu,0.0833898,"['grid', 'chain', 'horizontal', 'vertical']",3.57972,1.70264e-05,26,False,5.21779e-06,130.3
68,124,0.971374,16,relu,0.628103,"['grid', 'chain', 'horizontal', 'kings']",3.63303,8.98471e-06,11,False,8.36783e-07,183.4
69,131,0.971374,16,relu,0.184747,"['grid', 'chain', 'horizontal', 'kings']",2.78849,2.56569e-05,21,False,3.63779e-07,109.9
70,141,0.971374,16,relu,0.208232,"['grid', 'chain', 'horizontal', 'kings']",3.12383,2.07664e-05,26,False,3.22469e-07,148.9
71,142,0.971374,16,relu,0.300429,"['grid', 'chain', 'horizontal', 'kings']",2.36601,1.41421e-05,21,False,2.07637e-07,162.9
72,163,0.971374,16,relu,0.117152,"['grid', 'chain', 'horizontal', 'kings']",0.0423848,9.64579e-05,11,True,1.89196e-06,42.0
73,174,0.971374,16,relu,0.220312,"['grid', 'chain', 'horizontal', 'kings']",4.29238,0.000107209,26,True,6.02639e-06,82.1
74,178,0.971374,16,relu,0.0745358,"['grid', 'chain', 'horizontal', 'cross']",4.34219,0.000152368,16,True,1.48026e-05,45.5
75,190,0.971374,16,relu,0.639598,"['grid', 'chain', 'horizontal', 'kings']",3.19079,1.01279e-05,16,False,9.4507e-07,179.2
76,17,0.969466,16,relu,0.0417416,"['grid', 'chain', 'horizontal', 'vertical']",2.01793,2.18482e-05,71,False,9.31008e-06,175.2
77,32,0.969466,16,relu,0.119164,"['grid', 'chain', 'horizontal', 'vertical']",5.13828,1.1403e-05,16,False,1.31118e-06,148.2
78,41,0.969466,16,relu,0.452599,"['grid', 'chain', 'horizontal', 'kings']",4.57641,9.74654e-05,21,True,9.77189e-07,95.6
79,42,0.969466,16,relu,0.538356,"['grid', 'chain', 'horizontal', 'kings']",2.70978,0.00103721,26,True,3.88718e-06,116.2
80,53,0.969466,16,relu,0.544343,"['grid', 'chain', 'horizontal', 'kings']",2.87772,0.00125302,21,True,2.23083e-05,105.0
81,73,0.969466,16,relu,0.0194346,"['grid', 'chain', 'horizontal', 'vertical']",1.98165,3.07997e-05,6,False,1.16165e-08,57.9
82,81,0.969466,16,relu,0.640103,"['grid', 'chain', 'horizontal', 'kings']",3.76235,0.00014836,21,True,6.22983e-07,163.3
83,89,0.969466,16,gelu,0.4713,"['grid', 'chain', 'horizontal', 'kings']",4.17768,8.51001e-05,16,True,1.81408e-05,97.6
84,95,0.969466,16,relu,0.669339,"['grid', 'chain', 'horizontal', 'cross']",4.79403,2.57843e-05,66,True,5.58794e-06,182.6
85,113,0.969466,16,relu,0.0186438,"['grid', 'chain', 'horizontal', 'kings']",4.23836,3.85599e-05,6,False,3.94196e-07,53.8
86,122,0.969466,16,relu,0.0504784,"['grid', 'chain', 'horizontal', 'kings']",1.53139,1.64885e-05,21,False,6.76e-06,128.1
87,127,0.969466,16,relu,0.479515,"['grid', 'chain', 'horizontal', 'vertical']",4.32376,8.14664e-05,11,False,8.55096e-06,125.2
88,136,0.969466,16,relu,0.0357435,"['grid', 'chain', 'horizontal', 'kings']",3.84929,9.12853e-06,26,False,5.86717e-06,177.7
89,138,0.969466,16,relu,0.611561,"['grid', 'chain', 'horizontal', 'vertical']",3.29608,1.13147e-05,11,False,1.00793e-06,182.0
90,143,0.969466,16,relu,0.0733242,"['grid', 'chain', 'horizontal', 'kings']",2.5248,3.65134e-06,46,False,3.64825e-07,176.8
91,146,0.969466,16,relu,0.440885,"['grid', 'chain', 'horizontal', 'cross']",2.72864,9.34164e-06,11,False,4.62789e-07,173.1
92,150,0.969466,16,relu,0.553816,"['grid', 'chain', 'horizontal', 'vertical']",4.63516,4.31006e-05,11,False,3.77669e-06,130.1
93,151,0.969466,16,relu,0.264929,"['grid', 'chain', 'horizontal', 'kings']",0.965807,1.96424e-05,21,False,2.23753e-06,143.5
94,154,0.969466,16,relu,0.309716,"['grid', 'chain', 'horizontal', 'ring']",3.22461,7.18528e-06,16,False,8.14873e-07,175.4
95,159,0.969466,16,relu,0.281499,"['grid', 'chain', 'horizontal', 'vertical']",8.92349,5.21007e-06,21,False,1.52889e-06,186.6
96,164,0.969466,16,relu,0.182904,"['grid', 'chain', 'horizontal', 'kings']",0.3497,3.52762e-05,6,True,7.84301e-06,49.8
