rank,trial,value,dataset.batch_size,model.activation,model.dropout,optim.grad_clip,optim.lr,optim.patience,optim.use_scheduler,optim.weight_decay,duration_s
1,142,0.982824,32,gelu,0.661649,9.27119,0.00107244,90,True,4.38472e-06,152.2
2,188,0.982824,32,gelu,0.681128,0.392175,0.00128119,80,True,9.08997e-06,145.9
3,153,0.980916,32,gelu,0.66754,0.962556,0.00043716,80,True,9.48193e-07,151.7
4,156,0.980916,32,gelu,0.665944,1.17126,0.000712976,80,True,2.51033e-06,154.0
5,162,0.980916,32,gelu,0.681202,1.81892,0.000912892,75,True,4.9809e-06,156.6
6,164,0.980916,32,gelu,0.647018,0.536126,0.00116493,75,True,6.57433e-06,163.5
7,176,0.980916,32,gelu,0.653677,0.270416,0.00125824,80,True,8.99078e-06,156.3
8,183,0.980916,32,gelu,0.687493,0.369781,0.00103866,85,True,1.61664e-05,147.7
9,27,0.979008,64,gelu,0.492892,3.51279,0.000442676,30,False,6.78926e-06,78.6
10,126,0.979008,32,gelu,0.624256,8.22453,0.00123288,50,True,4.1118e-06,138.9
11,135,0.979008,32,gelu,0.675549,9.62236,0.000654018,80,True,1.33901e-05,137.2
12,143,0.979008,32,gelu,0.650291,0.388246,0.000310321,80,True,4.8311e-06,149.1
13,158,0.979008,32,gelu,0.663998,1.30318,0.00140343,75,True,2.80694e-06,156.2
14,160,0.979008,32,gelu,0.651218,1.78449,0.0013591,75,True,2.41959e-06,158.8
15,165,0.979008,32,gelu,0.643018,0.432302,0.00232179,75,True,1.31862e-05,157.1
16,170,0.979008,32,gelu,0.644688,0.130569,0.00263931,75,True,5.54405e-06,157.1
17,179,0.979008,32,gelu,0.656456,0.293416,0.00303026,80,True,1.4327e-05,146.4
18,182,0.979008,32,gelu,0.688856,0.593117,0.000964735,85,True,6.07535e-06,148.4
19,189,0.979008,32,gelu,0.69816,0.445018,0.00159867,80,True,8.82003e-06,152.5
