rank,trial,value,dataset.batch_size,model.activation,model.dropout,optim.grad_clip,optim.lr,optim.patience,optim.use_scheduler,optim.weight_decay,duration_s
1,124,0.984733,16,gelu,0.528152,8.71839,0.000138025,55,True,2.04655e-06,170.3
2,82,0.980916,16,relu,0.341967,9.38584,0.000240746,70,True,5.56999e-07,150.2
3,152,0.980916,16,gelu,0.368565,7.24084,9.61427e-05,55,True,0.000567229,167.8
4,67,0.979008,16,relu,0.343106,9.356,0.000314432,65,True,9.74058e-07,141.3
5,85,0.979008,16,relu,0.364981,8.53055,0.000223794,60,True,1.80618e-06,165.4
6,93,0.979008,16,relu,0.283325,9.14135,0.00033402,70,True,7.57802e-07,148.2
7,153,0.979008,16,gelu,0.360501,6.88199,9.01329e-05,55,True,0.000569342,171.0
8,192,0.979008,16,gelu,0.377146,9.41569,0.00028545,45,True,9.05897e-07,115.5
9,61,0.977099,16,gelu,0.333653,8.09126,0.000253499,45,True,1.4927e-06,115.1
10,109,0.977099,16,gelu,0.406372,7.41106,0.000833047,45,True,1.65912e-06,107.0
11,114,0.977099,16,gelu,0.424935,8.45631,0.000881577,50,True,1.40481e-06,119.6
12,122,0.977099,16,gelu,0.454567,8.98836,0.000230484,65,True,9.77126e-07,175.7
13,134,0.977099,16,gelu,0.386197,8.53395,0.000124544,65,True,0.000152752,168.4
14,136,0.977099,16,gelu,0.384757,7.97362,0.000103561,60,True,0.000374738,169.6
15,139,0.977099,16,gelu,0.381164,7.83083,0.000105722,60,True,0.000511293,159.9
16,140,0.977099,16,gelu,0.375252,7.79482,0.000104571,65,True,0.000414779,171.0
17,150,0.977099,16,gelu,0.35812,7.28407,0.000105852,55,True,0.000808925,161.9
18,151,0.977099,16,gelu,0.356509,6.99025,0.000100238,55,True,0.000418149,166.8
19,154,0.977099,16,gelu,0.36901,7.23871,0.000127411,55,True,0.000651954,162.1
20,199,0.977099,16,relu,0.359376,8.07751,0.000263425,60,True,3.90155e-05,172.4
21,49,0.975191,16,gelu,0.254899,7.10242,0.0016981,35,True,4.80013e-05,68.9
22,60,0.975191,16,gelu,0.34663,9.30695,0.000377461,45,True,8.91822e-07,111.5
23,62,0.975191,16,gelu,0.345272,9.14891,0.000355805,50,True,1.25865e-06,126.7
24,64,0.975191,16,gelu,0.291766,9.35556,0.00020675,50,True,1.34636e-06,123.1
25,68,0.975191,16,relu,0.434279,9.25303,0.000321504,65,True,6.57725e-07,168.4
26,69,0.975191,16,relu,0.433638,9.38098,0.000315687,70,True,7.91826e-07,158.5
27,72,0.975191,16,relu,0.341332,9.94164,0.000282012,65,True,2.37292e-07,142.3
