rank,trial,value,dataset.batch_size,model.activation,model.dropout,model.kernel_topology_names,optim.grad_clip,optim.lr,optim.patience,optim.use_scheduler,optim.weight_decay,duration_s
1,81,0.984733,32,relu,0.324929,['cross'],3.68926,0.000285724,56,True,5.10462e-06,82.2
2,94,0.984733,32,relu,0.38146,['cross'],2.21669,0.000628428,61,True,1.69451e-06,76.5
3,101,0.984733,32,relu,0.364444,['cross'],3.076,0.000316857,61,True,1.94313e-06,91.5
4,111,0.984733,32,relu,0.33046,['cross'],2.13096,0.000314239,61,True,4.97803e-06,86.8
5,115,0.984733,32,relu,0.356775,['cross'],3.56532,0.000344796,66,True,2.31939e-06,85.9
6,117,0.984733,32,relu,0.366333,['cross'],2.78967,0.000320711,76,True,2.38961e-06,86.9
7,122,0.984733,32,relu,0.352948,['cross'],3.22275,0.000253563,76,True,2.62707e-06,82.5
8,123,0.984733,32,relu,0.393473,['cross'],3.31363,0.000268402,76,True,2.73076e-06,86.3
9,132,0.984733,32,relu,0.360462,['cross'],6.10411,0.000452699,76,True,3.37713e-06,84.0
10,144,0.984733,32,relu,0.413745,['cross'],3.34303,0.000440524,76,True,2.51109e-07,87.4
11,174,0.984733,32,relu,0.328469,['cross'],3.62583,0.00032032,61,True,2.57996e-06,84.2
12,175,0.984733,32,relu,0.326927,['cross'],3.62578,0.000299414,61,True,2.39409e-06,84.6
13,193,0.984733,32,relu,0.368881,['cross'],3.65528,0.000235298,66,True,6.04818e-06,88.3
14,20,0.982824,32,relu,0.488668,['cross'],3.46699,0.000827707,76,True,2.94451e-06,309.6
15,22,0.982824,32,relu,0.388569,['cross'],3.51588,0.000468532,86,True,3.61807e-06,307.9
16,26,0.982824,32,relu,0.37949,['cross'],4.04353,0.000691892,86,True,3.45893e-07,82.4
17,34,0.982824,32,relu,0.423225,['cross'],2.74473,0.000497148,66,True,7.72477e-08,84.0
18,37,0.982824,32,relu,0.410055,['cross'],5.45006,0.000526978,71,True,1.95301e-07,83.0
19,51,0.982824,32,relu,0.35308,['cross'],3.8431,0.000695872,81,True,1.97293e-06,79.8
20,52,0.982824,32,relu,0.346219,['cross'],3.84766,0.000537658,81,True,5.29659e-06,82.9
21,73,0.982824,32,relu,0.383555,['cross'],3.96,0.000424397,61,True,6.15657e-06,83.3
22,76,0.982824,32,relu,0.330767,['cross'],2.26384,0.000280608,61,True,5.21792e-06,84.8
23,92,0.982824,32,relu,0.336603,['cross'],1.82622,0.000288421,56,True,4.1155e-06,83.6
24,95,0.982824,32,relu,0.38199,['cross'],0.667142,0.000590196,66,True,1.66274e-06,70.3
25,98,0.982824,32,relu,0.378182,['cross'],4.34209,0.000547338,86,True,3.64948e-07,87.1
26,102,0.982824,32,relu,0.414201,['cross'],3.01272,0.000406956,56,True,2.05757e-06,83.4
27,112,0.982824,32,relu,0.314791,['cross'],1.04648,0.000463943,61,True,1.80124e-06,76.6
28,143,0.982824,32,relu,0.34917,['cross'],3.6879,0.000274904,76,True,1.15402e-06,86.3
29,152,0.982824,32,relu,0.324171,['cross'],3.71451,0.000493913,86,True,2.02926e-06,83.9
30,155,0.982824,32,relu,0.356845,['cross'],3.53454,0.000273188,86,True,2.76189e-07,85.6
31,159,0.982824,32,relu,0.550307,['cross'],2.52952,0.00077836,66,True,1.44848e-06,85.7
32,161,0.982824,32,relu,0.347164,['cross'],3.86526,0.000475086,81,True,9.03419e-06,87.7
33,162,0.982824,32,relu,0.391321,['cross'],3.54609,0.000332345,76,True,2.58668e-06,88.0
34,165,0.982824,32,relu,0.310999,['cross'],3.75541,0.000422204,86,True,7.20597e-06,84.9
35,167,0.982824,32,relu,0.343324,['cross'],8.60414,0.000291568,61,True,2.24617e-06,90.5
36,171,0.982824,32,relu,0.380681,['cross'],4.02473,0.000447403,61,True,6.16805e-06,86.3
37,176,0.982824,32,relu,0.320714,['cross'],3.65559,0.000313485,61,True,1.91791e-06,80.5
38,182,0.982824,32,relu,0.350751,['cross'],3.44695,0.00056124,81,True,3.91334e-06,87.0
39,185,0.982824,32,relu,0.369441,['cross'],2.93465,0.000331993,51,True,3.43903e-06,74.0
40,190,0.982824,32,relu,0.325996,['cross'],4.96875,0.000355791,76,True,3.36407e-06,82.6
41,191,0.982824,32,relu,0.379414,['cross'],3.9095,0.000447803,61,True,7.84038e-06,77.9
42,195,0.982824,32,relu,0.358263,['cross'],3.31972,0.00022852,66,True,1.89692e-06,85.2
43,21,0.980916,32,relu,0.421,['cross'],3.49214,0.000878229,81,True,2.24593e-06,281.3
44,41,0.980916,32,relu,0.424103,['cross'],6.92975,0.00042736,71,True,1.43298e-07,83.0
45,53,0.980916,32,relu,0.483566,['cross'],4.50016,0.000275561,86,True,2.16726e-07,85.0
46,61,0.980916,32,relu,0.341361,['cross'],3.73651,0.000366674,81,True,7.54017e-06,85.4
47,85,0.980916,32,relu,0.391808,['cross'],4.13323,0.000698892,61,True,4.29303e-06,77.4
48,91,0.980916,32,relu,0.326059,['cross'],2.28245,0.000309281,61,True,6.35771e-06,84.2
49,99,0.980916,32,gelu,0.453832,['cross'],3.29585,0.000184299,66,True,1.32639e-06,87.7
50,106,0.980916,32,relu,0.427164,['cross'],2.84263,0.000232187,61,True,3.38207e-06,83.9
51,125,0.980916,32,relu,0.399744,['cross'],1.92959,0.000285554,71,True,1.1521e-06,85.8
52,129,0.980916,32,relu,0.482169,['cross'],2.20521,0.000358141,61,True,5.27026e-07,85.5
53,133,0.980916,32,relu,0.626497,['cross'],5.47597,0.000457328,76,True,3.52445e-06,83.8
54,145,0.980916,32,relu,0.416434,['cross'],3.37504,0.000462367,66,True,2.49193e-07,80.0
55,147,0.980916,32,relu,0.406113,['cross'],5.17785,0.000364821,71,True,8.13483e-07,88.3
56,164,0.980916,32,relu,0.357443,['cross'],1.48078,0.000241409,81,True,3.98099e-06,87.8
57,172,0.980916,32,relu,0.359746,['cross'],3.88537,0.000658002,56,True,5.70907e-06,79.7
58,177,0.980916,32,relu,0.332317,['cross'],3.37051,0.000198725,56,True,2.5878e-06,84.0
