rank,trial,value,dataset.batch_size,model.activation,model.dropout,model.kernel_topology_names,optim.grad_clip,optim.lr,optim.patience,optim.use_scheduler,optim.weight_decay,duration_s
1,65,0.979008,16,gelu,0.451816,['vertical'],6.36771,0.000907984,66,True,0.00034687,118.3
2,77,0.979008,16,gelu,0.435332,['vertical'],3.93107,0.000110915,76,True,2.13743e-05,148.6
3,87,0.979008,16,gelu,0.38358,['vertical'],3.35997,8.23932e-05,76,True,9.30094e-06,140.3
4,106,0.979008,16,gelu,0.477499,['vertical'],3.20378,0.000106621,76,True,7.13053e-05,152.8
5,111,0.979008,16,gelu,0.457761,['vertical'],2.10454,0.000105938,76,True,1.51969e-05,147.5
6,171,0.979008,16,gelu,0.408892,['vertical'],1.93251,9.66935e-05,71,True,9.77047e-05,157.9
7,172,0.979008,16,gelu,0.455134,['vertical'],2.26622,8.21341e-05,66,True,4.0525e-05,152.8
8,175,0.979008,16,gelu,0.409895,['vertical'],1.54755,9.27805e-05,66,True,3.03523e-05,150.4
9,182,0.979008,16,gelu,0.409739,['vertical'],1.32385,9.40446e-05,66,True,3.1179e-05,150.6
10,72,0.977099,16,gelu,0.464319,['vertical'],3.97068,0.000118226,66,True,7.7311e-05,149.1
11,73,0.977099,16,gelu,0.462458,['vertical'],3.96737,7.47914e-05,66,True,4.31109e-05,149.9
12,79,0.977099,16,gelu,0.421351,['vertical'],3.27226,0.00013652,86,True,4.73334e-05,145.1
13,81,0.977099,16,gelu,0.412069,['vertical'],2.76115,0.000103266,86,True,3.53816e-05,155.1
14,82,0.977099,16,gelu,0.417719,['vertical'],2.24304,0.000114268,86,True,4.93705e-05,149.1
15,83,0.977099,16,gelu,0.419151,['vertical'],2.80814,0.000117396,86,True,4.06704e-05,145.6
16,90,0.977099,16,gelu,0.492091,['vertical'],2.20005,9.13004e-05,81,True,9.42869e-06,150.8
17,92,0.977099,16,gelu,0.450483,['vertical'],1.68517,0.00010209,76,True,2.4519e-05,151.2
18,97,0.977099,16,gelu,0.381174,['vertical'],3.04391,0.000122644,86,True,1.84282e-05,143.6
19,101,0.977099,16,gelu,0.442605,['vertical'],1.67442,0.000105576,76,True,2.51296e-05,145.9
20,103,0.977099,16,gelu,0.537331,['vertical'],1.06149,8.07709e-05,91,True,4.60494e-06,143.8
21,110,0.977099,16,gelu,0.427699,['vertical'],4.01359,0.000139606,81,True,9.83297e-06,147.0
22,112,0.977099,16,gelu,0.406961,['vertical'],2.13112,0.000100303,71,True,9.60191e-05,147.0
23,122,0.977099,16,gelu,0.434126,['vertical'],2.26441,9.15249e-05,71,True,3.40092e-05,148.0
24,128,0.977099,16,gelu,0.473312,['vertical'],0.724309,9.2921e-05,81,True,8.78085e-06,145.1
25,132,0.977099,16,gelu,0.379597,['vertical'],2.81055,0.000137718,81,True,2.19753e-05,141.9
26,133,0.977099,16,gelu,0.402702,['vertical'],3.05524,0.000169269,91,True,3.08609e-05,142.1
27,141,0.977099,16,gelu,0.438299,['vertical'],1.53761,0.000143402,76,True,2.67589e-05,144.9
28,144,0.977099,16,gelu,0.405176,['vertical'],2.42603,0.000128177,76,True,5.42471e-05,154.1
29,153,0.977099,16,gelu,0.47563,['vertical'],0.926224,0.000113681,96,True,4.20606e-06,155.2
30,156,0.977099,16,gelu,0.408557,['vertical'],4.08499,0.000181237,66,True,3.12068e-06,151.3
31,159,0.977099,16,gelu,0.462634,['vertical'],3.19679,8.38533e-05,81,True,9.33301e-05,148.1
32,162,0.977099,16,gelu,0.390615,['vertical'],1.71717,0.000100989,91,True,1.19965e-05,148.3
33,181,0.977099,16,gelu,0.386419,['vertical'],1.5003,7.51821e-05,66,True,3.83705e-05,154.7
34,183,0.977099,16,gelu,0.409742,['vertical'],1.21366,0.000123342,61,True,2.96463e-05,145.8
