rank,trial,value,dataset.batch_size,model.activation,model.dropout,optim.grad_clip,optim.lr,optim.patience,optim.use_scheduler,optim.weight_decay,duration_s
1,49,0.979008,16,gelu,0.678931,1.77312,0.000489124,70,True,8.1945e-07,276.2
2,95,0.979008,32,gelu,0.548279,4.9035,0.00395737,20,True,2.1496e-06,259.2
3,151,0.979008,16,gelu,0.644307,6.92665,0.0016153,30,True,7.86366e-06,214.7
4,60,0.977099,32,gelu,0.641323,5.87526,0.00481085,55,True,3.09399e-06,282.8
5,81,0.977099,64,gelu,0.589344,4.91573,0.0027349,50,True,6.15657e-06,271.4
6,108,0.977099,32,gelu,0.609446,6.66649,0.00226022,15,True,4.81752e-06,174.5
7,160,0.977099,32,gelu,0.636432,6.40721,0.00282763,35,True,2.03124e-05,293.9
8,167,0.977099,16,gelu,0.636165,5.43191,0.00116685,20,True,3.29213e-06,245.5
9,206,0.977099,16,gelu,0.565781,6.33401,0.00105773,15,True,8.02157e-07,82.2
10,214,0.977099,16,gelu,0.637728,2.10233,0.00151734,85,True,6.8111e-07,317.1
11,54,0.975191,16,gelu,0.621115,2.04401,0.00312791,85,True,3.60411e-06,347.2
12,59,0.975191,16,gelu,0.643206,5.76102,0.0039724,60,True,4.51337e-06,345.1
13,61,0.975191,32,gelu,0.644825,5.87055,0.00341119,55,True,4.75139e-06,283.3
14,64,0.975191,32,gelu,0.629062,6.32787,0.00204934,35,True,3.06275e-06,310.7
15,70,0.975191,32,gelu,0.653019,6.14952,0.00100652,20,True,2.99837e-06,272.6
16,76,0.975191,32,gelu,0.596436,5.42426,0.00365443,55,True,2.63016e-06,304.0
17,90,0.975191,32,gelu,0.627701,5.31205,0.00353534,20,True,1.73791e-05,339.9
18,99,0.975191,32,gelu,0.571549,1.6933,0.00412549,25,True,8.11341e-07,261.4
19,103,0.975191,32,gelu,0.597781,4.08651,0.00291988,10,True,2.46483e-06,115.6
20,105,0.975191,64,gelu,0.682788,4.74985,0.00114727,20,True,2.09649e-05,133.5
21,107,0.975191,16,gelu,0.645478,7.03331,0.00140921,30,True,8.18823e-06,306.5
22,119,0.975191,32,gelu,0.675617,5.85162,0.0041337,60,True,7.39884e-06,252.2
23,120,0.975191,16,gelu,0.608589,2.5136,0.00255562,20,True,9.0848e-07,227.4
24,124,0.975191,32,gelu,0.574053,1.63455,0.00417231,25,True,6.65033e-07,225.2
25,126,0.975191,32,gelu,0.648534,6.12774,0.00147883,30,True,1.70264e-06,259.7
26,141,0.975191,64,gelu,0.68616,4.7049,0.000734298,20,True,2.61457e-05,196.8
27,147,0.975191,16,gelu,0.654875,1.35967,0.00482166,20,True,4.53597e-05,246.3
28,165,0.975191,32,gelu,0.619101,5.62806,0.00372115,25,True,4.50793e-06,257.1
29,173,0.975191,32,gelu,0.660177,5.18011,0.00289216,25,True,4.16928e-06,340.9
30,176,0.975191,32,gelu,0.595569,6.52207,0.00203276,25,True,4.6979e-06,334.3
31,194,0.975191,32,gelu,0.664516,6.38489,0.00327693,65,True,8.35553e-06,311.9
32,198,0.975191,16,gelu,0.639072,1.45618,0.00388324,55,True,5.22271e-06,378.4
33,209,0.975191,16,gelu,0.655238,6.47997,0.00124708,65,True,1.37281e-06,336.6
34,14,0.973282,64,gelu,0.543061,3.68441,0.00268361,90,False,4.84268e-06,378.2
35,28,0.973282,16,gelu,0.528642,4.25408,0.000716234,70,False,4.29458e-07,410.3
36,31,0.973282,16,gelu,0.569617,4.30785,0.00479962,80,False,1.37647e-05,394.8
37,34,0.973282,16,gelu,0.579334,4.51533,0.000283669,70,False,7.28029e-08,330.7
38,46,0.973282,16,gelu,0.66733,2.68685,0.00135086,95,False,2.53087e-07,330.9
39,47,0.973282,16,gelu,0.6638,2.66863,0.00143133,90,False,2.99728e-07,332.1
40,51,0.973282,16,gelu,0.67419,0.819954,0.000478889,65,True,1.82924e-07,295.3
41,52,0.973282,16,gelu,0.684574,3.73496,0.000894338,70,True,1.21172e-06,328.4
42,65,0.973282,32,gelu,0.632853,5.47179,0.0019803,40,True,2.80265e-06,348.6
43,66,0.973282,32,gelu,0.612264,7.46461,0.0034982,30,True,4.32717e-06,340.4
44,82,0.973282,32,gelu,0.595053,6.43209,0.00365332,45,True,6.73349e-06,296.1
45,83,0.973282,64,gelu,0.68124,9.84767,0.00234958,60,True,5.52766e-06,303.2
46,89,0.973282,64,gelu,0.580163,9.12814,0.00161567,60,True,1.13447e-05,345.8
47,100,0.973282,16,gelu,0.644613,6.39131,0.00260558,60,True,0.00091323,303.1
48,110,0.973282,32,gelu,0.559814,6.12767,0.0022306,40,True,1.3951e-06,325.4
49,116,0.973282,32,gelu,0.653156,6.32253,0.00315477,55,True,9.76089e-06,317.5
50,135,0.973282,32,gelu,0.618189,4.13656,0.00280795,35,True,1.29506e-06,318.9
51,136,0.973282,32,relu,0.566473,4.7682,0.00372452,20,True,3.78692e-06,244.0
52,140,0.973282,32,gelu,0.594338,4.58437,0.00407114,45,True,6.29426e-06,260.7
53,145,0.973282,64,gelu,0.672795,0.0977706,0.0030744,15,True,3.38967e-06,137.7
54,146,0.973282,64,gelu,0.613224,5.2972,0.0023258,100,True,0.000155425,238.4
55,150,0.973282,16,gelu,0.336875,4.39698,0.00357839,60,True,9.60546e-06,263.9
56,156,0.973282,32,gelu,0.596116,2.38345,0.00345416,75,True,5.6184e-06,313.6
57,159,0.973282,64,gelu,0.654393,2.77506,0.00148217,55,True,7.58418e-06,271.3
58,162,0.973282,32,gelu,0.644402,6.30231,0.00344435,35,True,1.01348e-05,254.1
59,182,0.973282,16,gelu,0.650187,6.69387,0.00298664,30,True,1.05333e-05,276.9
60,185,0.973282,16,gelu,0.658156,7.18513,0.000750075,70,True,2.5006e-06,307.0
61,186,0.973282,32,gelu,0.640766,6.16683,0.00215365,20,True,6.12607e-06,257.7
62,187,0.973282,64,relu,0.627385,5.3012,0.00159912,25,True,3.1727e-06,240.2
63,193,0.973282,32,gelu,0.648309,6.74839,0.004794,55,True,1.24627e-05,299.6
64,196,0.973282,32,gelu,0.699598,5.62044,0.00237979,95,True,3.94444e-06,323.9
65,199,0.973282,32,gelu,0.584227,6.58615,0.0013598,20,True,1.16381e-08,191.7
66,202,0.973282,16,gelu,0.611827,1.88081,0.00251204,20,True,7.62236e-07,175.5
67,212,0.973282,16,gelu,0.618317,3.77226,0.00252685,20,True,2.17835e-06,259.5
68,216,0.973282,16,gelu,0.649154,1.67982,0.00135036,85,True,3.43275e-06,323.1
69,10,0.971374,64,gelu,0.635365,4.29977,0.00237353,95,False,6.85045e-06,387.9
70,11,0.971374,64,gelu,0.647479,4.21263,0.00329748,95,False,1.04982e-05,377.7
71,13,0.971374,64,gelu,0.694355,4.72746,0.000246224,100,False,1.46852e-05,361.3
72,19,0.971374,16,gelu,0.592009,1.45904,0.00102871,10,False,0.000670135,115.0
73,20,0.971374,64,gelu,0.492838,0.122559,0.000277994,45,False,2.55526e-05,202.7
74,24,0.971374,64,gelu,0.509416,2.88514,0.000383816,100,False,0.000191947,318.3
75,32,0.971374,16,gelu,0.538327,5.08254,0.000667499,75,False,5.55247e-07,403.0
76,45,0.971374,16,gelu,0.461983,2.25158,0.00486922,85,True,8.3218e-06,342.8
77,50,0.971374,16,gelu,0.556093,1.57808,5.92137e-05,60,True,6.80752e-07,323.6
78,55,0.971374,32,gelu,0.624862,1.88303,0.00297102,85,True,2.02219e-06,289.2
79,63,0.971374,32,gelu,0.695739,6.85277,0.00343064,55,True,1.55729e-06,282.9
80,69,0.971374,32,gelu,0.673829,5.63391,0.00495068,45,True,2.03577e-05,331.1
81,78,0.971374,32,gelu,0.596684,5.64946,0.00185509,60,True,2.4073e-06,303.6
82,79,0.971374,32,relu,0.659785,6.09366,0.0010744,40,True,1.07566e-06,283.5
83,80,0.971374,32,gelu,0.634239,7.77699,0.000519451,55,True,1.04088e-05,274.4
84,92,0.971374,32,gelu,0.635205,5.2131,0.0027878,15,True,8.5466e-06,276.7
85,97,0.971374,32,relu,0.5877,4.53458,0.000448362,15,True,2.99149e-06,162.0
86,102,0.971374,32,gelu,0.666181,6.00641,0.00189216,25,True,6.49858e-06,222.4
87,106,0.971374,32,gelu,0.397589,1.32323,0.00376362,50,True,1.57536e-06,209.7
88,117,0.971374,16,relu,0.699619,4.90045,0.00146789,55,True,1.43265e-05,270.8
