rank,trial,value,dataset.batch_size,model.activation,model.dropout,optim.grad_clip,optim.lr,optim.patience,optim.use_scheduler,optim.weight_decay,duration_s
1,49,0.979008,16,gelu,0.678931,1.77312,0.000489124,70,True,8.1945e-07,282.3
2,95,0.979008,32,gelu,0.548279,4.9035,0.00395737,20,True,2.1496e-06,208.4
3,151,0.979008,16,gelu,0.644307,6.92665,0.0016153,30,True,7.86366e-06,215.0
4,60,0.977099,32,gelu,0.641323,5.87526,0.00481085,55,True,3.09399e-06,288.0
5,81,0.977099,64,gelu,0.589344,4.91573,0.0027349,50,True,6.15657e-06,238.6
6,108,0.977099,32,gelu,0.609446,6.66649,0.00226022,15,True,4.81752e-06,147.5
7,160,0.977099,32,gelu,0.636432,6.40721,0.00282763,35,True,2.03124e-05,254.7
8,167,0.977099,16,gelu,0.636165,5.43191,0.00116685,20,True,3.29213e-06,266.5
9,204,0.977099,16,gelu,0.607822,1.75747,0.00110472,60,True,1.12074e-06,208.1
10,205,0.977099,16,gelu,0.646831,1.84904,0.00107358,60,True,1.388e-06,313.5
11,54,0.975191,16,gelu,0.621115,2.04401,0.00312791,85,True,3.60411e-06,343.0
12,59,0.975191,16,gelu,0.643206,5.76102,0.0039724,60,True,4.51337e-06,332.2
13,61,0.975191,32,gelu,0.644825,5.87055,0.00341119,55,True,4.75139e-06,287.9
14,64,0.975191,32,gelu,0.629062,6.32787,0.00204934,35,True,3.06275e-06,301.7
15,70,0.975191,32,gelu,0.653019,6.14952,0.00100652,20,True,2.99837e-06,278.2
16,76,0.975191,32,gelu,0.596436,5.42426,0.00365443,55,True,2.63016e-06,302.8
17,90,0.975191,32,gelu,0.627701,5.31205,0.00353534,20,True,1.73791e-05,314.7
18,99,0.975191,32,gelu,0.571549,1.6933,0.00412549,25,True,8.11341e-07,258.2
19,103,0.975191,32,gelu,0.597781,4.08651,0.00291988,10,True,2.46483e-06,113.1
20,105,0.975191,64,gelu,0.682788,4.74985,0.00114727,20,True,2.09649e-05,125.7
21,107,0.975191,16,gelu,0.645478,7.03331,0.00140921,30,True,8.18823e-06,305.8
22,119,0.975191,32,gelu,0.675617,5.85162,0.0041337,60,True,7.39884e-06,255.9
23,120,0.975191,16,gelu,0.608589,2.5136,0.00255562,20,True,9.0848e-07,226.2
24,124,0.975191,32,gelu,0.574053,1.63455,0.00417231,25,True,6.65033e-07,220.8
25,126,0.975191,32,gelu,0.648534,6.12774,0.00147883,30,True,1.70264e-06,261.4
26,141,0.975191,64,gelu,0.68616,4.7049,0.000734298,20,True,2.61457e-05,191.1
27,147,0.975191,16,gelu,0.654875,1.35967,0.00482166,20,True,4.53597e-05,245.7
28,165,0.975191,32,gelu,0.619101,5.62806,0.00372115,25,True,4.50793e-06,279.4
29,173,0.975191,32,gelu,0.660177,5.18011,0.00289216,25,True,4.16928e-06,251.4
30,176,0.975191,32,gelu,0.595569,6.52207,0.00203276,25,True,4.6979e-06,299.5
31,191,0.975191,32,gelu,0.671149,6.40392,0.0027075,50,True,2.00718e-06,320.7
32,199,0.975191,32,gelu,0.653575,5.62881,0.00389335,85,True,2.56895e-06,341.8
33,207,0.975191,16,gelu,0.62164,1.62258,0.00108786,60,True,1.20726e-06,271.7
34,208,0.975191,16,gelu,0.568034,1.49069,0.000848973,55,True,1.44762e-06,317.2
35,14,0.973282,64,gelu,0.543061,3.68441,0.00268361,90,False,4.84268e-06,370.7
36,28,0.973282,16,gelu,0.528642,4.25408,0.000716234,70,False,4.29458e-07,395.9
37,31,0.973282,16,gelu,0.569617,4.30785,0.00479962,80,False,1.37647e-05,401.3
38,34,0.973282,16,gelu,0.579334,4.51533,0.000283669,70,False,7.28029e-08,301.1
39,46,0.973282,16,gelu,0.66733,2.68685,0.00135086,95,False,2.53087e-07,338.2
40,47,0.973282,16,gelu,0.6638,2.66863,0.00143133,90,False,2.99728e-07,339.0
41,51,0.973282,16,gelu,0.67419,0.819954,0.000478889,65,True,1.82924e-07,296.9
42,52,0.973282,16,gelu,0.684574,3.73496,0.000894338,70,True,1.21172e-06,344.8
43,65,0.973282,32,gelu,0.632853,5.47179,0.0019803,40,True,2.80265e-06,293.8
44,66,0.973282,32,gelu,0.612264,7.46461,0.0034982,30,True,4.32717e-06,360.2
45,82,0.973282,32,gelu,0.595053,6.43209,0.00365332,45,True,6.73349e-06,271.4
46,83,0.973282,64,gelu,0.68124,9.84767,0.00234958,60,True,5.52766e-06,244.3
47,89,0.973282,64,gelu,0.580163,9.12814,0.00161567,60,True,1.13447e-05,293.8
48,100,0.973282,16,gelu,0.644613,6.39131,0.00260558,60,True,0.00091323,305.8
49,110,0.973282,32,gelu,0.559814,6.12767,0.0022306,40,True,1.3951e-06,306.2
50,116,0.973282,32,gelu,0.653156,6.32253,0.00315477,55,True,9.76089e-06,260.7
51,135,0.973282,32,gelu,0.618189,4.13656,0.00280795,35,True,1.29506e-06,308.3
52,136,0.973282,32,relu,0.566473,4.7682,0.00372452,20,True,3.78692e-06,242.8
53,140,0.973282,32,gelu,0.594338,4.58437,0.00407114,45,True,6.29426e-06,262.6
54,145,0.973282,64,gelu,0.672795,0.0977706,0.0030744,15,True,3.38967e-06,127.9
55,146,0.973282,64,gelu,0.613224,5.2972,0.0023258,100,True,0.000155425,252.8
56,150,0.973282,16,gelu,0.336875,4.39698,0.00357839,60,True,9.60546e-06,263.6
57,156,0.973282,32,gelu,0.596116,2.38345,0.00345416,75,True,5.6184e-06,316.2
58,159,0.973282,64,gelu,0.654393,2.77506,0.00148217,55,True,7.58418e-06,273.0
59,162,0.973282,32,gelu,0.644402,6.30231,0.00344435,35,True,1.01348e-05,281.8
60,182,0.973282,16,gelu,0.650187,6.69387,0.00298664,30,True,1.05333e-05,285.8
61,185,0.973282,16,gelu,0.658156,7.18513,0.000750075,70,True,2.5006e-06,307.2
62,186,0.973282,32,gelu,0.640766,6.16683,0.00215365,20,True,6.12607e-06,264.6
63,187,0.973282,64,relu,0.627385,5.3012,0.00159912,25,True,3.1727e-06,236.7
64,193,0.973282,32,gelu,0.667483,5.55838,0.00313894,60,True,8.99344e-06,363.2
65,195,0.973282,32,gelu,0.680072,5.42845,0.0021036,55,True,3.91231e-06,324.1
66,200,0.973282,64,gelu,0.672079,5.24037,0.00184436,40,True,3.36353e-06,268.3
67,10,0.971374,64,gelu,0.635365,4.29977,0.00237353,95,False,6.85045e-06,377.5
68,11,0.971374,64,gelu,0.647479,4.21263,0.00329748,95,False,1.04982e-05,359.2
69,13,0.971374,64,gelu,0.694355,4.72746,0.000246224,100,False,1.46852e-05,367.7
70,19,0.971374,16,gelu,0.592009,1.45904,0.00102871,10,False,0.000670135,109.9
71,20,0.971374,64,gelu,0.492838,0.122559,0.000277994,45,False,2.55526e-05,230.1
