scale,encoding,topology_set,dim,acc,auc
1k,Digital-Z,kings,729,0.7500,0.7678
1k,Digital-Z,horizontal,729,0.7436,0.7753
1k,Digital-Z,vertical,729,0.7885,0.7924
1k,Digital-Z,cross,729,0.7244,0.7636
1k,Digital-Z,ring,729,0.7308,0.7675
1k,Digital-Z,chain,729,0.7500,0.8024
1k,Digital-Z,star,729,0.7500,0.7598
1k,Digital-Z,grid,729,0.7308,0.7506
1k,Digital-ZZ,kings,3645,0.7756,0.7926
1k,Digital-ZZ,horizontal,3645,0.7564,0.7878
1k,Digital-ZZ,vertical,3645,0.7564,0.7836
1k,Digital-ZZ,cross,3645,0.7564,0.8214
1k,Digital-ZZ,ring,3645,0.7692,0.8118
1k,Digital-ZZ,chain,3645,0.7692,0.7847
1k,Digital-ZZ,star,3645,0.7628,0.7905
1k,Digital-ZZ,grid,3645,0.7628,0.8039
1k,Analog-Z,kings,729,0.7244,0.7471
1k,Analog-Z,horizontal,729,0.7756,0.7817
1k,Analog-Z,vertical,729,0.7179,0.7467
1k,Analog-Z,cross,729,0.7372,0.7381
1k,Analog-Z,ring,729,0.7628,0.7093
1k,Analog-Z,chain,729,0.7564,0.7669
1k,Analog-Z,star,729,0.7308,0.7137
1k,Analog-Z,grid,729,0.7115,0.7444
1k,Analog-ZZ,kings,3645,0.7756,0.8095
1k,Analog-ZZ,horizontal,3645,0.7692,0.7928
1k,Analog-ZZ,vertical,3645,0.7821,0.8066
1k,Analog-ZZ,cross,3645,0.7564,0.8049
1k,Analog-ZZ,ring,3645,0.7564,0.7884
1k,Analog-ZZ,chain,3645,0.7436,0.8106
1k,Analog-ZZ,star,3645,0.7500,0.7669
1k,Analog-ZZ,grid,3645,0.7885,0.8492
4k,Digital-Z,grid+chain+horizontal+kings,2916,0.7308,0.7761
4k,Digital-Z,grid+chain+horizontal+vertical,2916,0.7564,0.7911
4k,Digital-Z,grid+chain+horizontal+cross,2916,0.7244,0.7840
4k,Digital-Z,grid+chain+horizontal+ring,2916,0.7564,0.7830
4k,Digital-Z,grid+chain+horizontal+star,2916,0.7244,0.7886
4k,Digital-ZZ,grid+chain+horizontal+kings,14580,0.7692,0.8300
4k,Digital-ZZ,grid+chain+horizontal+vertical,14580,0.7500,0.8275
4k,Digital-ZZ,grid+chain+horizontal+cross,14580,0.7436,0.8315
4k,Digital-ZZ,grid+chain+horizontal+ring,14580,0.7692,0.8229
4k,Digital-ZZ,grid+chain+horizontal+star,14580,0.7692,0.8106
4k,Analog-Z,grid+chain+horizontal+kings,2916,0.7308,0.7456
4k,Analog-Z,grid+chain+horizontal+vertical,2916,0.7436,0.7477
4k,Analog-Z,grid+chain+horizontal+cross,2916,0.7308,0.7548
4k,Analog-Z,grid+chain+horizontal+ring,2916,0.7372,0.7460
4k,Analog-Z,grid+chain+horizontal+star,2916,0.7244,0.7492
4k,Analog-ZZ,grid+chain+horizontal+kings,14580,0.7564,0.8189
4k,Analog-ZZ,grid+chain+horizontal+vertical,14580,0.7756,0.8198
4k,Analog-ZZ,grid+chain+horizontal+cross,14580,0.7885,0.8168
4k,Analog-ZZ,grid+chain+horizontal+ring,14580,0.7628,0.8139
4k,Analog-ZZ,grid+chain+horizontal+star,14580,0.7500,0.8093
