scale,encoding,topology_set,dim,acc,auc
1k,Digital-Z,kings,729,0.8462,0.9187
1k,Digital-Z,horizontal,729,0.8381,0.9315
1k,Digital-Z,vertical,729,0.8381,0.9337
1k,Digital-Z,cross,729,0.8542,0.9290
1k,Digital-Z,ring,729,0.8381,0.9202
1k,Digital-Z,chain,729,0.8333,0.9201
1k,Digital-Z,star,729,0.8510,0.9228
1k,Digital-Z,grid,729,0.8349,0.9102
1k,Digital-ZZ,kings,3645,0.8349,0.9109
1k,Digital-ZZ,horizontal,3645,0.8429,0.9358
1k,Digital-ZZ,vertical,3645,0.8446,0.9242
1k,Digital-ZZ,cross,3645,0.8446,0.9306
1k,Digital-ZZ,ring,3645,0.8285,0.9219
1k,Digital-ZZ,chain,3645,0.8462,0.9280
1k,Digital-ZZ,star,3645,0.8638,0.9271
1k,Digital-ZZ,grid,3645,0.8526,0.9349
1k,Analog-Z,kings,729,0.8494,0.9203
1k,Analog-Z,horizontal,729,0.8333,0.9027
1k,Analog-Z,vertical,729,0.8333,0.9165
1k,Analog-Z,cross,729,0.8429,0.9094
1k,Analog-Z,ring,729,0.8429,0.9189
1k,Analog-Z,chain,729,0.8413,0.9234
1k,Analog-Z,star,729,0.8542,0.9271
1k,Analog-Z,grid,729,0.8221,0.8935
1k,Analog-ZZ,kings,3645,0.8574,0.9212
1k,Analog-ZZ,horizontal,3645,0.8269,0.9122
1k,Analog-ZZ,vertical,3645,0.8253,0.9153
1k,Analog-ZZ,cross,3645,0.8333,0.9103
1k,Analog-ZZ,ring,3645,0.8478,0.9118
1k,Analog-ZZ,chain,3645,0.8317,0.9071
1k,Analog-ZZ,star,3645,0.8590,0.9303
1k,Analog-ZZ,grid,3645,0.8285,0.9058
4k,Digital-Z,grid+chain+horizontal+kings,2916,0.8429,0.9190
4k,Digital-Z,grid+chain+horizontal+vertical,2916,0.8365,0.9235
4k,Digital-Z,grid+chain+horizontal+cross,2916,0.8510,0.9264
4k,Digital-Z,grid+chain+horizontal+ring,2916,0.8365,0.9232
4k,Digital-Z,grid+chain+horizontal+star,2916,0.8429,0.9235
4k,Digital-ZZ,grid+chain+horizontal+kings,14580,0.8446,0.9021
4k,Digital-ZZ,grid+chain+horizontal+vertical,14580,0.8446,0.9089
4k,Digital-ZZ,grid+chain+horizontal+cross,14580,0.8478,0.9128
4k,Digital-ZZ,grid+chain+horizontal+ring,14580,0.8494,0.9056
4k,Digital-ZZ,grid+chain+horizontal+star,14580,0.8462,0.9190
4k,Analog-Z,grid+chain+horizontal+kings,2916,0.8429,0.9165
4k,Analog-Z,grid+chain+horizontal+vertical,2916,0.8510,0.9150
4k,Analog-Z,grid+chain+horizontal+cross,2916,0.8494,0.9132
4k,Analog-Z,grid+chain+horizontal+ring,2916,0.8381,0.9139
4k,Analog-Z,grid+chain+horizontal+star,2916,0.8558,0.9195
4k,Analog-ZZ,grid+chain+horizontal+kings,14580,0.8526,0.8976
4k,Analog-ZZ,grid+chain+horizontal+vertical,14580,0.8333,0.8905
4k,Analog-ZZ,grid+chain+horizontal+cross,14580,0.8381,0.8912
4k,Analog-ZZ,grid+chain+horizontal+ring,14580,0.8397,0.8930
4k,Analog-ZZ,grid+chain+horizontal+star,14580,0.8526,0.8988
